"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"51",51,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, OXALIPLATIN","UNK, UNK","III","Advanced, First Line","Overall survival","NCT03468231","Active Comparator is sorafenib plus HAIC of FOLFOX (administration of Oxaliplatin , fluorouracil, and leucovorin via the tumor feeding arteries). Patients must be diagnosed with major or main portal vein invasion (Vp3 or Vp4). Uses hepatic arterial infusion chemotherapy (HAIC)","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03468231","DB00398,DB00526","406563, 5310940","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"52",52,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PEMBROLIZUMAB, DOXORUBICIN","UNK, UNK","I, II","First Line","Incidence of treatment-emergent adverse events (safety and tolerability)","NCT03397654","Trans-arterial chemoembolization (TACE) using doxorubicin solution (60 mg dose) and gelatin sponge particles; followed, at least 30 or 45 days later, by pembrolizumab solution (200 mg dose) every 3 weeks for a maximum of 1 year. Patients must be ineligible for surgical resection or liver transplantation.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03397654","DB09037,DB00997","NA, 443939","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"53",53,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","NIVOLUMAB, IPILIMUMAB","UNK, UNK","II","Advanced, First Line, Second Line","the percentage of subjects with tumor shrinkage after study drug treatment","NCT03510871","Cannot have evidence of extra-hepatic metastases.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03510871","DB09035,DB06186","NA, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"54",54,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CABOZANTINIB","UNK","II","Advanced, Second Line","24-Week Progression-Free Survival Rate (PFSR)","NCT03586973","Participants who have received 1 or 2 prior anticancer therapies for advanced HCC, Cohort A: participants who have received prior sorafenib, Cohort B: participants who have not received prior sorafenib. Note: Additional prior systemic therapies used as adjuvant or local therapy are allowed.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03586973","DB08875","25102846","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"55",55,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PD1 MAB, POLYIC","PD1, UNK","II","Advanced, Second Line","Objective response rate (ORR)","NCT03732547","barcelona stage C, or stage B but resistant/recurrent to prior local treatment","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03732547","NA,NA","NA, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"56",56,"ADVANCED UNRESECTABLE HEPATOCELLULAR CARCINOMA","HBV","Positive","NA","missing","ATG-008","UNK","II","Advanced, Second Line","Cmax, AUC, The incidence of treatment emergent adverse events (TEAEs) & SAE assessed by CTCAE v4.03 , ORR","NCT03591965","must have Who Have Received at Least One Prior Line of Systemic Therapy , be HBV+, and Unresectable stage B or C HCC according to the Barcelona Clinic Liver Cancer (BCLC) staging.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03591965","NA","58298316","ENSG00000112773","EFO_0009260","HBV MISSING POSITIVE","pass"
"57",57,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PEMBROLIZUMAB","UNK","II","Advanced, Second Line","Overall response rate","NCT03316872","being tested in combination with Stereotactic Body Radiotherapy (SBRT). First line therapy with sorafenib. Cannot have two lines of treatment","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03316872","DB09037","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"58",58,"LOCALLY ADVANCED UNRESECTABLE OR METASTATIC COMBINED HEPATOCELLULAR-CHOLANGIOCARCINOMA, LOCALLY ADVANCED UNRESECTABLE OR METASTATIC INTRAHEPATIC CHOLANGIOCARCINOMA","FGFR2","Positive","NA","mutation/gene fusion/amplification","DERAZANTINIB","UNK","II","Advanced, Second Line","Substudy 1: Anti-cancer activity of derazantinib by Objective Response Rate (ORR)","NCT03230318","Substudy 1: FGFR2 gene fusion, Substudy 2: FGFR2 mutation status","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03230318","DB14889","46834118","ENSG00000066468","EFO_0009260","FGFR2 MUTATION/GENE FUSION/AMPLIFICATION POSITIVE","pass"
"59",59,"LOCALLY ADVANCED UNRESECTABLE OR METASTATIC CHOLANGIOCARCINOMA","absent","NA","NA","NA","CISPLATIN, GEMCITABINE, COPANLISIB","UNK, UNK, UNK","II","Advanced, First Line","Progression Free Survival (PFS)","NCT02631590","Must have histologically or cytologically documented carcinoma primary to the intra- or extra-hepatic biliary system or gall bladder with clinical and/or radiologic evidence of unresectable, locally advanced or metastatic disease. Patients with ampullary carcinoma are not eligible.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02631590","DB00515,DB00441,DB12483","2767, 60750, 135565596","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"60",60,"LOCALLY ADVANCED UNRESECTABLE OR METASTATIC HEPATOCELLULAR CARCINOMA","AFP","Positive","NA","Protein Expression","RAMUCIRUMAB, MEDI4736","UNK","I","Advanced, Second Line","Number of Participants with Dose Limiting Toxicities (DLTs)","NCT02572687","Other cancers in trial, HCC in experimental arm. Has histopathologically or cytologically confirmed HCC, Child-Pugh Class A, with documented disease progression during or after discontinuation of sorafenib therapy, or intolerance of sorafenib therapy,","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02572687","DB05578,NA","NA, NA","ENSG00000081051","EFO_0009260","AFP PROTEIN EXPRESSION POSITIVE","pass"
"61",61,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","FOLFOX","UNK","III","First Line","Overall survival","NCT02738697","FOLFOX is a combination of drugs, not listed. Comparator is just no follow up treatment. Must have resection surgery with  microvessels invasion following","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02738697","NA","135659064","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"62",62,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB","UNK","III","Advanced, First Line","overall survival (OS), Event free survival","NCT02971696","must be HCC patients whose etiology from HCV genotype 4. Sorafenib vs best supportive care.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02971696","DB00398","406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"63",63,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","DONAFENIB","tyrosine kinase","II, III","Advanced, First Line","Overall Survival","NCT02645981","active comparator is sorafenib. donafenib, an oral multikinase inhibitor that targets Raf kinase and receptor tyrosine kinases","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02645981","DB15414","25191001","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"64",64,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","GENEXOL-PM","UNK","II","Advanced, First Line","Progression-free survival rate at 6 months","NCT03008512","must have Previous sorafenib treatment for at least 14 days and discontinuation of sorafenib treatment prior to inclusion, Barcelona Clinic Liver Cancer (BCLC) stage C or BCLC stage B disease not amenable to locoregional therapy or refractory to locoregional therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03008512","NA","36314","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"65",65,"HEPATOCELLULAR CARCINOMA","AFP","Positive","NA","Protein Expression","SORAFENIB","UNK","IV","First Line","overall survival of 1 year, overall survival of 3 year","NCT03178656","Patients with HCC and Portal Vein tumor Thrombus (PVTT). Comparator is resection. Must be Patients with a solitary tumor or multiple tumor which are resectable. 4. Patients without Hepatic vein or bile duct invasion and extrahepatic metastasis","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03178656","DB00398","406563","ENSG00000081051","EFO_0000182","AFP PROTEIN EXPRESSION POSITIVE","pass"
"66",66,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","5-FLUOROURACIL, OXALIPLATIN, LEUCOVORIN","UNK, UNK, UNK","II","Advanced, First Line","Tumor response","NCT02987699","Different experimental arms changing dosage of chemotherapy. Administered by using HAI. Must have been diagnosed with major or main portal vein invasion","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02987699","DB00544,DB00526,DB00650","3385, 5310940, 135403647","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"67",67,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SHR-1210","UNK","II","Advanced, Second Line","Objective Response Rate per RECIST 1.1, Overall Survival Rate at 6-month","NCT02989922","Failed or intolerable to at least one prior systemic treatment for advanced HCC","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02989922","NA","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"68",68,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PDR001, INC280","UNK, UNK","I, II","Advanced, Second Line","Number of participants with Dose Limiting Toxicities (DLTs), Overall response rate (ORR) per Response Evaluation Criteria in Solid Tumors (RECIST v1.1)","NCT02795429","Patients must have received prior systemic sorafenib treatment for HCC with documented progression during or after discontinuation of sorafenib treatment (for France only: patients must have received at least 8 weeks of prior sorafenib treatment), or are intolerant to sorafenib (defined as documented Grade 3 or 4 adverse events that led to sorafenib discontinuation),.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02795429","NA,NA","NA, 25145656","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"69",69,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","OXALIPLATIN, LEUCOVORIN, 5-FU","UNK, UNK, UNK","UNK","First Line","early recurrence","NCT02813096","Trial to prevent postoperative recurrence, especially in HCC patients with portal vein tumor thrombus (PVTT). folfox4 chemotherapy regimen. patients without recurrence within the first month after curative resection are eligible","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02813096","DB00526,DB00650,DB00544","5310940, 135403647, 3385","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"70",70,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CISPLATIN, LIPIODOL","UNK","II","First Line","Time to progression (TTP)","NCT03268499","Active Comparator: Lipiodol-cisplatin emulsion. Trial looks at difference between emulsion and suspension. Deleivered using TACE, BCLC A or B, can have a resection or be uneligible, also uneligible for ablation","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03268499","DB00515,NA","2767, NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"71",71,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CAROTUXIMAB, SORAFENIB","UNK, UNK","I, II","First Line","Maximum Tolerated Dose of TRC105 in Combination with Sorafenib (Phase 1b), Estimate the ORR of patients with unresectable hepatocellular carcinoma given TRC105 and sorafenib (Phase 2)","NCT02560779","Patients must have disease that is not amenable to potentially curative resection or ablative techniques or that has recurred following ablative techniques. In addition, disease must not be amenable to transhepatic arterial chemoembolization (TACE) or must have progressed on TACE. Patients must not be candidates for liver transplantation.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02560779","DB06322,DB00398","NA, 406563","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"72",72,"LOCALLY ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, CAPECITABINE, OXALIPLATIN","UNK, UNK, UNK","II","Advanced, First Line","Resectability","NCT03578874","Drug combination called SECOX. Must be Fit enough to undergo surgery to resect the primary liver tumour","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03578874","DB00398,DB01101,DB00526","406563, 60953, 5310940","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"73",73,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","DURVALUMAB, TREMELIMUMAB","UNK, UNK","II","Advanced, Second Line","Progression free survival","NCT02821754","Patients must have disease that is not amenable to potentially curative resection, transplantation or ablation. HCC patients must have progressed on, been intolerant to, or refused prior sorafenib therapy. Testing drug combinations with TACE, cryoablation, radiofrequency ablation and alone","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02821754","DB11714,DB11771","NA, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"74",74,"ADVANCED BILIARY TRACT CANCER","absent","NA","NA","NA","DURVALUMAB, TREMELIMUMAB","UNK, UNK","II","Advanced, Second Line","Progression free survival","NCT02821754","Patients must have disease that is not amenable to potentially curative resection, transplantation or ablation. Patients with BTC must have received, been intolerant of or refused at least one line of chemotherapy. Testing drug combinations with TACE, cryoablation, radiofrequency ablation and alone","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02821754","DB11714,DB11771","NA, NA","ENSG00000104313","MONDO_0003060","ABSENT NA NA","no biomarker"
"75",75,"ADVANCED UNRESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CISPLATIN, 5-FLUOROURACIL","UNK, UNK","II","Advanced, Second Line","Objective tumor response","NCT02967887","Using hepatic arterial infusion chemotherapy. Patients with advanced hepatocellular carcinoma who cannot be treated with surgery, transplantation, RFA, or TACE. Must have been intolerant or progressed on sorafenib. Cannot have extrahepatic tumors","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02967887","DB00515,DB00544","2767, 3385","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"76",76,"ADVANCED OR METASTATIC HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, CAPECITABINE, OXALIPLATIN","UNK, UNK, UNK","II","Advanced, First Line","Time to progression (TTP)","NCT02716766","active comparator is sorafenib. Drug combination is called SECOX","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02716766","DB00398,DB01101,DB00526","406563, 60953, 5310940","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"77",77,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, OXALIPLATIN, FLUOROURACIL, LEUCOVORIN","UNK, UNK, UNK, UNK","III","Advanced, First Line","Overall survival","NCT02774187","active comparator is sorafenib. Oxaliplatin, fluorouracil, and leucovorin is administered with HAIC. Combination of Oxaliplatin, fluorouracil, and leucovorin is the FOLFOX protocol. Patients must have portal vein tumor thrumbus","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02774187","DB00398,DB00526,DB00544,DB00650","406563, 5310940, 3385, 135403647","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"78",78,"UNRESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CC-122, NIVOLUMAB","UNK, UNK","I, II","First Line, Second Line","Dose Limiting Toxicity (DLT) , Adverse Events (AEs), Overall Response Rate (ORR) - Phase 2","NCT02859324","Subjects who have progressed after or were intolerant to no more than 2 previous systemic therapies for unresectable HCC, or are naïve to systemic therapy.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02859324","NA,DB09035","24967599, NA","ENSG00000104313","EFO_0000707","ABSENT NA NA","no biomarker"
"79",79,"MIDDLE-ADVANCED PRIMARY HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PIRARUBICIN, ARSENIC TRIOXIDE","UNK, UNK","II","Advanced, First Line","Progression free survival","NCT02956772","TACE with the pirarubicin. The active comparator is just the pirarubicin TACE treatment alone. Subject has primary middle-advanced liver cancer of Barcelona Clinic Liver Cancer stages B/C inappropriate for surgical resection or other locoregional therapy and still presents with tumor lesions in the liver","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02956772","DB11616,DB01169","45358767, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"80",80,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","H3B-6527","UNK","I","Advanced, Second Line","Number of Participants with Dose-limiting Toxicities (DLTs), Number of Participants with Treatment Emergent Adverse Events (TEAEs) and Serious Adverse Events (SAEs)","NCT02834780","Must have had at least one prior standard-of-care therapy, unless contraindicated.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02834780","DB15169","118029202","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"81",81,"URESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","LENVATINIB","UNK","I","First Line, Second Line","Mean maximum observed concentration (Cmax), Mean time at which the highest drug concentration occurs (tmax), Mean area under the concentration-time curve from zero time to time of last quantifiable concentration (AUC(0-t)), Mean maximum observed concentration at steady-state (Css,max ), Mean minimum observed concentration at steady-state (Css,min), Average steady-state concentration (Css,av) , Mean time at which the highest drug concentration occurs at steady-state (tss,max) , Mean area under the concentration-time curve over the dosing interval on multiple dosing (AUC(0-τ))","NCT02953743","Participants categorized to stage B (not applicable for transarterial chemoembolization [TACE]) or stage C based on Barcelona Clinic Liver Cancer (BCLC) staging system","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02953743","DB09078","11237762","ENSG00000104313","EFO_0000707","ABSENT NA NA","no biomarker"
"82",82,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PEMBROLIZUMAB","UNK","III","Advanced, Second Line","Progression-Free Survival (PFS) Per Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST 1.1) , Overall Survival (OS)","NCT02702401","comparator is placebo. Both trials have Best supportive care. First line treatment must be with sorafenib","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02702401","DB09037","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"83",83,"LOCALLY ADVANCED OR METASTATIC HEPATOCELLULAR CARINOMA","AFP","Positive","NA","Protein Expression","BAVITUXIMAB, SORAFENIB","UNK/UNK","I, II","Advanced, First Line, Second Line","Safety as measured by the number of participants with adverse events, Time to Progression (phase II)as measured by abdominal magnetic resonance imaging","NCT01264705","Advanced HCC is defined as disease that is not amenable to surgical resection or orthotopic liver transplantation or is metastatic in nature, Prior adjuvant therapy with sorafenib or other Raf/MEK/RAS or VEGFR inhibitor","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01264705","DB05136,DB00398","NA, 406563","ENSG00000081051","EFO_0009709","AFP PROTEIN EXPRESSION POSITIVE","pass"
"84",84,"ADVANCED HEPATOCELLULAR CARCINOMA","RB","Positive","NA","Protein Expression","PD-0332991","CDK4/CDK6","II","Advanced, First Line","Time to Disease Progression","NCT01356628","No other active malignancy requiring treatment in the last 3 years other than adequately treated non-melanomatous skin cancer, adequately treated cervical carcinoma in-situ, superficial adequately treated bladder cancer or prostatic intraepithelial neoplasia without evidence of prostate cancer.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01356628","NA","5330286","ENSG00000139687","EFO_0009260","RB PROTEIN EXPRESSION POSITIVE","pass"
"85",85,"HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","TRC105","CD105","II","Advanced, Second Line","Time to Tumor Progression (TTP) for TRC105 in Hepatocellular Carcinoma","NCT01375569","Not eligible for a liver transplant","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01375569","NA","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug"
"86",86,"ADVANCED HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","LENALIDOMIDE","UNK","II","Advanced, Second Line","disease stabilization","NCT01545804","Acceptable first-line molecular targeted therapies include (1) sorafenib monotherapy and sorafenib-based combination; (2) anti-angiogenic therapy including brivanib, linifanib, pazopanib, bevacizumab, dovitinib (TKI258), and vargatef (BIBF1120).","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01545804","DB00480","216326","ENSG00000104313","EFO_0009260","ABSENT NA NA","pass"
"87",87,"ADVANCED LIVER CANCER","Absent","NA","NA","NA","BEVACIZUMAB, ERLOTINIB","VEGF, UNK","II","Advanced, Second Line","Number of Patients with Progression Free Survival (PFS) at 16 weeks","NCT01180959","First line treatment must be with with sorafenib, not amenable to curative resection","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01180959","DB00112,DB00530","NA, 176871","ENSG00000104313","MONDO_0002691","ABSENT NA NA","pass"
"88",88,"PROGRESSIVE HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","OPB-31121","UNK","I, II","Advanced, Second Line","Subjects With Treatment Emergent Adverse Events, Number of Participants Who Experienced Dose-Limiting Toxicities (DLTs)","NCT01406574","Patients unresponsive to standard therapy or for whom standard therapy is intolerable, or for whom there is no appropriate therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01406574","NA","NA","ENSG00000104313","EFO_0000707","ABSENT NA NA","failed drug"
"89",89,"METASTATIC HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","AXITINIB","UNK","II","Advanced, Second Line","Response rate","NCT01334112","Previous treatment with tyrosine kinase inhibitors or antiangiogenic drugs","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01334112","DB06626","6450551","ENSG00000104313","EFO_0000702","ABSENT NA NA","pass"
"90",90,"ADVANCED OR METASTATIC HEPATOCELLULAR CARCINOMA","AFP","Positive","NA","Protein Expression","EVEROLIMUS, PASIREOTIDE","UNK, UNK","II","Advanced, Second Line","Time to Progression (TTP)","NCT01488487","Prior systemic therapy limited to sorafenib that was discontinued due to intolerance. Patients must undergo at least a 4-week washout prior to enrollment.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01488487","DB01590,DB06663","6442177, 9941444","ENSG00000081051","EFO_0009260","AFP PROTEIN EXPRESSION POSITIVE","pass"
"91",91,"UNRESECTABLE LOCALLY ADVANCED OR METASTATIC HCC","Absent","NA","NA","NA","SORAFENIB, E7050","UNK, UNK","I, II","Advanced, First Line","Safety Parameters-Adverse Event (AEs), Safety Parameter-Concomitant Meds, Safety Parameter- Clinical Laboratory Evaluations, Safety Parameter-ECGS, Safety Parameters-Vital signs, Safety Parameters- ECOG PS","NCT01271504","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01271504","DB00398,NA","406563, 16118392","ENSG00000104313","EFO_0009709","ABSENT NA NA","pass"
"92",92,"ADVANCED HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","ADI-PEG 20","UNK","III","Advanced, Second Line","Overall survival","NCT01287585","Best Supportive Care","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01287585","DB06592","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","pass"
"93",93,"HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","TYROSERLEUTIDE, MITOMYCIN, FLUOROURACIL","UNK","III","First Line","RFS(Recurrence Free Survival)","NCT01489566","Subject underwent a complete resection of hepatocellular carcinoma (confirmed by pathology)","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01489566","NA,DB00305,DB00544","10045387, 5746, 3385","ENSG00000104313","EFO_0000182","ABSENT NA NA","pass"
"94",94,"UNRESECTABLE HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","AXITINIB","UNK","II","Advanced, First Line","Two-year survival rate ","NCT01352728","Must receive transarterial chemoembolization with addition of axitinib","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01352728","DB06626","6450551","ENSG00000104313","EFO_0000707","ABSENT NA NA","pass"
"95",95,"ADVANCED HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","SIR-SPHERE","UNK","III","Advanced, First Line","Median overall survival time","NCT01482442","must not be eligible for surgical resection or transplantation, first line for advanced disease, can have prior treatment for primary tumor","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01482442","NA","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug"
"96",96,"ADVANCED HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","AG-013736","UNK","II","Advanced, Second Line","disease stabilization","NCT01273662","Inoperable tumor(s) and no applicable curative therapy. Not amenable to loco-regional , first line treatment must have been with sorafenib","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01273662","NA","6450551","ENSG00000104313","EFO_0009260","ABSENT NA NA","pass"
"97",97,"ADVANCED HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","TS-1, OXALIPLATIN","UNK, UNK","II","Advanced, First Line, Second Line","Time to progression (TTP)","NCT01429961","TS-1, Oxaliplatin (Drug combination called SOX), only second line treatment for those who have been treated with sorafenib as their first line treatment, presence of extrahepatic measurable lesion","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01429961","NA,DB00526","5386, 5310940","ENSG00000104313","EFO_0009260","ABSENT NA NA","pass"
"98",98,"ADVANCED HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","MAPATUMUMAB, SORAFENIB","TRAILR1, UNK","I, II","Advanced, First Line","Time to Progression-Blinded Independent Central Review (BICR) Assessment","NCT01258608","Barcelona Clinic Liver Cancer (BCLC) advanced stage (C) hepatocellular carcinoma, or BCLC intermediate stage (B) hepatocellular carcinoma if treatment with transarterial chemoembolization is not considered appropriate","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01258608","NA,DB00398","NA, 406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug"
"99",99,"ADVANCED HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","S-1, LEUCOVORIN","UNK, UNK","II","First Line, Second Line","DCR","NCT01533324","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01533324","NA,DB00650","5462310, 135403647","ENSG00000104313","EFO_0009260","ABSENT NA NA","pass"
"100",100,"OR UNRESECTABLE HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","RO5323441, SORAFENIB","UNK, UNK","I","Advanced, First Line","Part I : Safety/dose-limiting toxicity: Incidence of adverse events, Part I: Determination of recommended Part II dose, Part II: Safety/tolerability: Incidence of adverse events","NCT01308723","Excludes patients with prior systemic treatment for metastatic hepatocellular carcinoma or patients who had tumor removed","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01308723","NA,DB00398","NA, 406563","ENSG00000104313","EFO_0000707","ABSENT NA NA","failed drug"
"101",101,"HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","TRC 105, SORAFENIB","UNK, UNK","I, II","Advanced, First Line, Second Line","Phase I: Maximum Tolerated Dose (MTD) of TRC105 When Given With Standard-dose Sorafenib for Hepatocellular Cancer (HCC), Phase II: Time to Progression (TTP) for the Combination of TR105 With Sorafenib in Hepatocellular Cancer (HCC)","NCT01306058","Second Line treatment only if first line treatment was with sorafenib, Patients must have disease that is not amenable to potentially curative resection or ablative techniques. In addition, disease must not be amenable to or have progressed on transhepatic arterial chemoembolization (TACE). Patients must not be considered potential candidates for liver transplantation. This determination will be made after hepatobiliary surgical input at the NCI multidisciplinary conference.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01306058","NA,DB00398","NA, 406563","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug"
"102",102,"HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","ETHIODIZED OIL, DOXORUBICIN","UNK, UNK","III","First Line","disease-free survival","NCT01966133","Other Name: doxorubicin-lipiodol mixture, HCC patients received curative hepatectomy with negative resection margin, Drugs delievered using Transarterial chemoembolisation","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01966133","DB00965,DB00997","NA, 443939","ENSG00000104313","EFO_0000182","ABSENT NA NA","pass"
