"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"60",60,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","NAB-PACLITAXEL, CARBOPLATIN, EPIRUBICIN, CYCLOPHOSPHAMIDE","UNK, UNK, UNK, UNK","UNK","First Line","pathologic complete response（pCR)","NCT04067102","Active Comparator: nab-paclitaxel, carboplatin, epirubicin, cyclophosphamide","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04067102","NA,DB00958,DB00445,DB00531","36314, 56840877, 65348, 2907","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"61",61,"RECURRENT AND METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","SHR-1210, APATINIB, FLUZOPARIB","PD1, UNK, UNK","I","Advanced, Second Line","Dose Limiting Toxicity (DLT)","NCT03945604","At least 1-line chemotherapy failed at the stage of recurrence and metastasis","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03945604","NA,DB14765,NA","NA, 45139106, 56649297","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"62",62,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","ABEMACICLIB, COPANLISIB, COPANLISIB HYDROCHLORIDE, FULVESTRANT","UNK, PI3K, UNK, UNK","I, II","Advanced, First Line, Second Line","Dose-limiting toxicity (DLT) (Phase I), Progression-free survival (PFS) (Phase II)","NCT03939897","No more than 1 prior chemotherapy in the metastatic setting. There is no limit on prior lines of endocrine therapy. (For patients enrolling to the phase 1 portion of the study, prior fulvestrant, CDK4/6 inhibitor, and everolimus is allowed)","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03939897","DB12001,DB12483,NA,DB00947","46220502, 135565596, 135565785, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"63",63,"EARLY OR LOCALLY ADVANCED BREAST CANCER (II-III)","ERBB2, ESR1, PGR","Positive, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PYROTINIB MALEATE, ALBUMIN PACLITAXEL, TRASTUZUMAB, EPIRUBICIN HYDROCHLORIDE, CYCLOPHOSPHAMIDE","EGFR/ERBB2, UNK, UNK","I, II","First Line","pathologic Complete Response(pCR)","NCT04152057","No patients can have inflammatory breast cancer or metastatic stage IV breast cancer, patients who are hormone receptor positive can have concurrent endocrine treatment","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04152057","NA,NA,DB00072,NA,DB00531","138115215, NA, 3001322, 65348, 2907","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"64",64,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","GB1275, PEMBROLIZUMAB","UNK, PD1","I","Advanced, First Line, Second Line","Regimens A, B,and C: Incidence of dose limiting toxicities (DLTs), Regimens A, B,and C: Incidence of adverse events (AEs), Regimens A and B: Cmax of GB1275, Regimens A and B: Ctrough of GB1275, Regimens A and B: Tmax of GB1275, Regimens A and B: t1/2 of GB1275, Regimens A and B: AUC of GB1275,  Regimens A and B: CL/F of GB1275,  Expansion Cohorts 1, 2 and 3: Objective Response Rate (ORR)","NCT04060342","Trial studies multiple cancers. TNBC is only included in the first phase of this trial and can only take Regimen A and B (GB1275, pembrolizumab), Not regimen C (nab-paclitaxel and gemcitabine).","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04060342","NA,DB09037","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"65",65,"ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, LDH","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","PEMBROLIZUMAB, LENVATINIB","UNK, UNK","II","Advanced, Second Line","Objective Response Rate (ORR) per Response Evaluation Criteria In Solid Tumors version 1.1 (RECIST 1.1) or Response Assessment in Neuro-Oncology (RANO) Criteria for Glioblastoma (GBM) by Investigator Assessment in Initial Cohorts, ORR per RECIST 1.1 or RANO (GBM) by Blinded Independent Central Review (BICR) in Expanded Cohorts (Combined with Initial Cohorts), Percentage of Participants who Experience an Adverse Event (AE), Percentage of Participants who Discontinue Study Treatment Due to an Adverse Event (AE)","NCT03797326","Trial studies multiple cancers.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03797326","DB09037,DB09078","NA, 11237762","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000134333","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND LDH PROTEIN EXPRESSION POSITIVE","pass"
"66",66,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ABBV-927, ABBV-368","UNK, UNK","I","Advanced, Second Line","Dose Expansion: Objective Response Rate (ORR), Dose-Escalation Phase: Recommended Phase 2 Dose (RP2D) of ABBV-927 + ABBV-368, Dose-Escalation Phase: Recommended Phase 2 Dose (RP2D) of ABBV-927 + ABBV-368 + ABBV-181","NCT03893955","Breast cancer is in arm 1 of the dose expansion phase of this trial. Patients must have disease progression during or after at least 1 systemic therapy that included a taxane in the metastatic or recurrent setting and who are treatment-naïve to immunotherapy","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03893955","NA,NA","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"67",67,"METASTATIC OR UNRESECTABLE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive/Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","SGN-CD228A","UNK","I","Advanced, Second Line","Number of patients with adverse events, Number of patients with laboratory abnormalities, Number of patients with dose limiting toxicities","NCT04042480","Trial Includes multiple cancers. Participants must have received 1 or more prior lines of therapy for locally advanced or metastatic disease. Prior therapies must include taxane. Hormone-receptor-positive subjects should have received CDK4/6 inhibitor therapy and have received at least 1 prior hormonally-directed therapy, unless contraindicated.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04042480","NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","failed drug"
"68",68,"ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","TPST-1120, NIVOLUMAB, DOCETAXEL, CETUXIMAB","PPARα, PD1, UNK, EGFR","I","Advanced, First Line, Second Line","Incidence of dose limiting toxicities (DLTs) of TPST-1120 as a single agent and in combination with nivolumab, in combination with docetaxel and in combination with cetuximab, Incidence of treatment-emergent adverse events as assessed by NCI-CTCAE v5.0 of TPST-1120 as a single agent and in combination with nivolumab, in combination with docetaxel and in combination with cetuximab, Identify the maximum tolerated dose","NCT03829436","Progressive disease or previously untreated tumors for which no standard therapy exists or treatment naïve at the time of study entry are eligible. Multiple treatment arms with TPST-1120 as a monotherapy and in combination with Nivolumab, Docetaxel or Cetuximab.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03829436","NA,DB09035,DB01248,DB00002","NA, NA, 148124, 136170999","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"69",69,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ZN-C3, TALAZOPARIB","UNK, UNK","I, II","Advanced, Second Line","Safety and tolerability of single agent ZN c3, including identification of the maximum tolerated dose (MTD)/recommended Phase 2 dose (RP2D), Objective response rate (ORR) of ZN c3 as a single agent and in combination with a PARP inhibitor and with a PD-1 inhibitor, respectively, Safety of ZN-c3 in combination with a PARP inhibitor and with a PD-1 inhibitor, respectively, including the determination of a RP2D for the combinations","NCT04158336","Multiple Experimental arms with various cancer types. Breast cancer listed in phase two only with ZN-c3 and talazoparib. Pembrolizumab is also listed in trial, but not for breast cancer patients.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04158336","NA,DB11760","NA, 135565082","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"70",70,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","SO-C101, PEMBROLIZUMAB","UNK, UNK","I","Advanced, Second Line","Part A;Number of Participants With Dose-Limiting Toxicities (DLT), Part A;Number of Participants With Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs), Part A;Number of Participants With Treatment Related Adverse Events (AEs) and Serious Adverse Events (SAEs), Part A;Number of Participants With Adverse Events (AEs) According to Severity of Grade 3 or Higher Severity Based on NCI CTCAE Version 5.0, Part A;Number of Participants With Laboratory Test Abnormalities of Grade 3 or Higher Severity Based on NCI CTCAE Version 5.0: Biochemistry and Hematology, Part A;Number of Participants With Laboratory Test Abnormalities: Urinalysis, Part A;Number of Participants With Clinically Significant Change From Screening in Vital Signs, Part A; Number of Participants With Eastern Cooperative Oncology Group [ECOG] Performance Status Score, Part B: Number of Participants With Dose-Limiting Toxicities (DLT): Dose Finding Phase, Part B: Number of Participants With Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events, Part B: Number of Participants With Treatment Related Adverse Events (AEs) and Serious Adverse Events, Part B: Number of Participants With Adverse Events (AEs) According to Severity of Grade 3 or Higher Severity Based on NCI CTCAE Version 5.0, Part B: Number of Participants With Laboratory Test Abnormalities of Grade 3 or Higher Severity Based on NCI CTCAE Version 5.0: Biochemistry and Hematology, Part B: Number of Participants With Laboratory Test Abnormalities: Urinalysis, Part B: Number of Participants With Clinically Significant Change From Screening in Vital Signs, Part B: Number of Participants With Eastern Cooperative Oncology Group [ECOG]","NCT04234113","Patients with selected histologically or cytologically confirmed advanced and/or metastatic solid tumors who are refractory to or intolerant of existing therapies known to provide clinical benefit for their condition. Multiple cancers included in this trial. Part A is SO-C101 monotherapy, Part B is SO-C101 in combination with pembrolizumab","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04234113","NA,DB09037","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"71",71,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","XMAB22841, PEMBROLIZUMAB","UNK, UNK","I","Advanced, Second Line","Safety and tolerability profile of XmAb22841 assessed by rates of treatment-related adverse events (AEs), graded by CTCAE v4.03.","NCT03849469","Trial with multiple cancers. All subjects' cancer must have progressed after treatment with all available therapies that are known to confer clinical benefit, or are intolerant to treatment, or refuse standard treatment.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03849469","NA,DB09037","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"72",72,"METASTATIC OR UNRESECTABLE TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","GEN1046","UNK","I, II","Advanced, Second Line","Dose limiting toxicity (DLT), Adverse events, Safety laboratory parameters (hematology, biochemistry, coagulation, endocrines)","NCT03917381","Must be patients that are longer candidates for standard therapy. Multiple cancers included in this trial","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03917381","NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"73",73,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Positive/Negative, Positive/Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","9-ING-41, GEMCITABINE, DOXORUBICIN, LOMUSTINE, CARBOPLATIN, NAB PACLITAXEL, PACLITAXEL, IRINOTECAN","GSK-3β, UNK, UNK, UNK, UNK, UNK, UNK, UNK","I, II","Advanced, Second Line","Parts 1/2: Number of participants with treatment-related adverse events as assessed by CTCAE v4.03","NCT03678883","Multiple cancers. 9-ING-41 is tested as a monotherapy and in combination with other drugs. Has pathologically confirmed advanced or metastatic malignancy characterized by one or more of the following: Patient is intolerant of existing therapy(ies) known to provide clinical benefit for their condition, Malignancy is refractory to existing therapy(ies) known to potentially provide clinical benefit, alignancy has relapsed after standard therapy, Malignancy for which there is no standard therapy that improves survival by at least 3 months","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03678883","NA,DB00441,DB00997,DB01206,DB00958,NA,DB01229,DB00762","44582816, 60750, 443939, 3950, 56840877, 36314, 36314, 60838","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"74",74,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","KY1044, ATEZOLIZUMAB","ICOS, PDL1","I, II","Advanced, Second Line","Incidence and severity of adverse events (AEs) and serious adverse events (SAEs), Number of dose interruptions, reductions and dose intensity, Overall response rate (ORR) per Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 (phase 2)","NCT03829501"," there are no available therapies known to confer a clinical benefit for their disease, or they have exhausted all such available options","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03829501","NA,DB11595","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"75",75,"ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","XMAB23104","UNK","I","Advanced, Second Line","Treatment-related adverse events as assessed by CTCAE v4.03","NCT03752398","All subjects' cancer must have progressed after treatment with standard/approved therapies or have no appropriate available therapies. Multiple cancer types included in study","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03752398","NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"76",76,"ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","LY3435151, PEMBROLIZUMAB","UNK, UNK","I","Advanced, Second Line","Number of Participants with LY3435151 Dose-Limiting Toxicities (DLTs)","NCT04099277","Multiple cancers included in trial. Participant must have progressed through or are intolerant to therapies with known clinical benefit, which your study doctor will discuss with you","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04099277","NA,DB09037","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"77",77,"ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, 5T4","Negative, Negative, Negative, Positive/Negative","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","NAPTUMOMAB ESTAFENATOX, DURVALUMAB","UNK, UNK","I","Advanced, Second Line","The incidence and characteristics of adverse events, associated with ascending doses of Nap in combination with a set dose of durvalumab, Establish MTD, Establish Recommended Phase 2 Dose (RP2D)","NCT03983954","Trial includes multiple cancer. Breast cancer tissue has a high (>80%) probability of 5T4 expression. Histologically and/or cytologically confirmed solid tumor that is metastatic/advanced, for which no curative therapy exists","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03983954","DB12807,DB11714","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000146242","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND 5T4 PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"78",78,"ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, 5T4","Negative, Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","NAPTUMOMAB ESTAFENATOX, DURVALUMAB","UNK, UNK","I","Advanced, Second Line","The incidence and characteristics of adverse events, associated with ascending doses of Nap in combination with a set dose of durvalumab, Establish MTD, Establish Recommended Phase 2 Dose (RP2D)","NCT03983954","Trial includes multiple cancer. Breast cancer tissue has a high (>80%) probability of 5T4 expression. Histologically and/or cytologically confirmed solid tumor that is metastatic/advanced, for which no curative therapy exists.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03983954","DB12807,DB11714","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000146242","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND 5T4 PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"79",79,"ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, AID","Negative, Negative, Negative, Positive/Negative","AND, AND, AND/OR","Protein Expression, Protein Expression, Protein Expression, Protein Expression","CYT-0851","RAD51","I, II","Advanced, Second Line","Dose limiting Toxicity, Overall Response Rate","NCT03997968","Trial includes multiple cancers. Triple negative breast cancer was the only breast cancer listed with specific biomarkers. Metastatic breast cancer was also included in phase one, however, this lacked mention of specific biomarkers other than the multi-cancer marker AID (activation-induced cytidine deaminase","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03997968","NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000111732","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND/OR AID PROTEIN EXPRESSION POSITIVE/NEGATIVE","failed drug"
"80",80,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","REBASTINIB, CARBOPLATIN","UNK, UNK","I, II","Advanced, Second Line","Adverse Events (Part 1 and Part 2), objective response rate (ORR)","NCT03717415","Trial studies multiple cancers.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03717415","DB13005,DB00958","25066467, 56840877","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"81",81,"METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression","DF1001, PEMBROLIZUMAB","NK Cells, PD1","I, II","Advanced, Second Line","Assessment of number of dose limiting toxicities experienced on study as defined per criteria in the study protocol, Assess Overall Response Rate","NCT04143711","Trial Studies multiple cancers. Patients must have received a taxane and an anthracycline unless anthracycline is contraindicated, progressed after their last line of therapy","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04143711","NA,DB09037","NA, NA","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE","failed drug"
"82",82,"METASTATIC BREAST CANCER","ERBB2, BRCA1, BRCA2, ESR1, PGR","Negative, Positive, Positive, Positive/Negative, Positive/Negative","AND, AND/OR, AND/OR, AND/OR","Protein Expression, Mutation, Mutation, Protein Expression, Protein Expression","NMS-03305293","PARP","I","Advanced, Second Line","Number of Participants with first-cycle dose limiting toxicity","NCT04182516","Trial Studies multiple cancers. HER2 negative breast cancer: no more than 3 prior chemotherapy regimens for locally advanced and/or metastatic disease (no limit on prior hormonal therapies or targeted anticancer therapies). At least 1 line of taxane or anthracycline based chemotherapy, if not contraindicated, in adjuvant/neoadjuvant or metastatic setting, If HR (Hormone Receptor) positive, at least 1 line of prior endocrine therapy.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04182516","NA","NA","ENSG00000141736, ENSG00000012048, ENSG00000139618, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","failed drug"
"83",83,"ADVANCED BREAST CANCER","ERBB2, ERBB3, EGFR","Positive, Positive, Positive","AND/OR, AND/OR","Protein Expression/ Protein Amplification/Mutation, Mutation, Mutation","BDTX-189","UNK","I, II","Advanced, Second Line","Incidence of dose limiting toxicities as a determinant of the Recommended Phase 2 Dose (RP2D), Phase 2: Objective response rate as a measure of antitumor activity","NCT04209465","Trial studies multiple cancers. Phase 1 Only: olid tumor patients with alterations that may be associated with antitumor activity based on preclinical data for BDTX-189 such as: Allosteric HER2 or HER3 mutation(s), EGFR or HER2 exon 20 insertion mutation(s), HER2 amplified or overexpressing tumors, EGFR exon 19 deletion or L858R mutation. Phase 2 only: Patients with a solid tumor harboring an: Allosteric HER2 mutation (including but not limited to S310F/Y, R678Q, L755S/P, V777L, V842I), EGFR or HER2 exon 20 insertion mutation","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04209465","NA","NA","ENSG00000141736, ENSG00000065361, ENSG00000146648","MONDO_0007254","ERBB2 PROTEIN EXPRESSION/ PROTEIN AMPLIFICATION/MUTATION POSITIVE AND/OR ERBB3 MUTATION POSITIVE AND/OR EGFR MUTATION POSITIVE","failed drug"
"84",84,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ABBV-151, ABBV-181","UNK, UNK","I","Advanced, Second Line","Dose Escalation: Recommended Phase 2 Dose (RP2D) ABBV-151 Monotherapy, Dose Escalation: RP2D ABBV-151 + ABBV-181 Combination Therapy, Dose Expansion: Objective Response Rate (ORR)","NCT03821935","Trial studies multiple cancers. who must have disease progression during or after at least 1 systemic therapy that included a taxane in the metastatic or recurrent setting. Study with ABBV-151 as a monotherapy and in combination with ABBV-181","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03821935","NA,NA","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"85",85,"METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression","ACTR T CELL PRODUCT, TRASTUZUMAB","Unk, ERBB2","I","Advanced, Second Line","Safety and tolerability of ACTR T cell product with trastuzumab as assessed by committee review of dose limiting toxicities (DLTs), incidence and severity of adverse events (AEs) and clinically significant abnormalities of laboratory values, Determination of recommended phase 2 dose (RP2D) regimen","NCT03680560","Trial Studies multiple cancers. ACTR T Cell Productz: Autologous Antibody-Coupled T Cell Receptor (ACTR) T Cell Product (ACTR707 or ACTR087). For those with metastatic breast cancer, must have received HER2-directed therapy including trastuzumab, pertuzumab and ado-trastuzumab in any breast cancer disease setting","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03680560","NA,DB00072","NA, 3001322","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE","failed drug"
"86",86,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression","KN026, DOCETAXOL","UNK, UNK","II","Advanced, First Line, Second Line","The proportion of patients with an objective response (partial response or complete response) as defined by RECIST 1.1 criteria","NCT04165993","The HER2 positive mBC subjects without systemic treatment will be enrolled in cohort 1 and received 30 mg/kg KN026 and docetaxol. The HER2 expressing mBC subjects failed standard therapy will be enrolled in cohort 2 and received KN026 monotherapy.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04165993","NA,NA","NA, 148124","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","failed drug"
"87",87,"METASTATIC  BREAST CANCER","NA","NA","NA","NA","VINORELBINE, CARBOPLATIN, GEMCITABINE","UNK, UNK, UNK","II","Advanced, Second Line","Progression Free Survival ","NCT04143906","Patients need to have received a previous treatment with anthracyclines and taxanes. Separate study arms: Arm A: Vinorelbine 25 mg/m2 d1,8; Carboplatin AUC=6 d1 q 3 weeks; Arm B: Gemcitabine 1000 mg/m2 d1,8; Carboplatin AUC=6 d1 q 3 weeks","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04143906","DB00361,DB00958,DB00441","5311497, 56840877, 60750","ENSG00000183023","EFO_1000984","NA NA NA","pass"
