"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","Biomarker.logical.conditions","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"47","NA","NA","HEPATOCELLULAR CARCINOMA","AFP, CD133, EPCAM,  KRT19 , ALB, G6PC, CYP3A4, HNF4A","expression,expression,expression,expression,expression,expression,expression,expression,",NA,"NA",31462277,"Development of an oncogenic dedifferentiation SOX signature with prognostic significance in hepatocellular carcinoma."," Liver cancer dedifferentiation markers (AFP, CD133, EPCAM, and KRT19) were found to be progressively increased while hepatocyte terminal differentiation markers (ALB, G6PC, CYP3A4, and HNF4A) were progressively decreased from HCC patients with low SOX signature.An oncogenic dedifferentiation SOX signature presents a great potential in predicting prognostic significance in HCC, and might provide novel biomarkers for precision oncology further in the clinic. scores to patients with high SOX signature scores.","https://www.ncbi.nlm.nih.gov/pubmed/31462277","need to check full text for SOX signature",NA,"NA","56956252","ENSG00000081051, ENSG00000007062, ENSG00000119888, ENSG00000171345, ENSG00000163631, ENSG00000131482, ENSG00000160868, ENSG00000101076","EFO_0000182","failed","failed term"
"48","RIBOCICLIB","CDK4,CDK6","HEPATOCELLULAR CARCINOMA","RB,p16-encoding CDKN2A","expression,expression",NA,"NA",31250364,"Predictors of ribociclib-mediated antitumour effects in native and sorafenib-resistant human hepatocellular carcinoma cells.","Our results warrant further investigation of Rb and p16 expression as markers of HCC sensitivity to ribociclib. mRNA analysis of primary human HCC specimens showed that CDK4 expression was correlated with patient survival and that the expression of Rb and the p16-encoding CDKN2A gene were inversely correlated.","https://www.ncbi.nlm.nih.gov/pubmed/31250364",NA,NA,"DB11730","44631912","ENSG00000139687, NA","EFO_0000182","failed","failed term"
"49","NA","NA","HEPATOCELLULAR CARCINOMA","CRIPTO1","expression",NA,"celllines,patients",31136302,"Beneficial effects of Cripto-1 for transarterial chemoembolization in hepatocellular carcinoma.","Cripto-1 may be a potential prognostic factor in predicting outcome of HCC patients with TACE therapy, and combined with Cripto-1 and tumor features may be helpful to stratify patients with respect to prognosis and response to adjuvant TACE. in high Cripto-1 expression patients, those with adjuvant TACE had favorable TTR and OS times. On contrary, adjuvant TACE may promote tumor recurrence but had no influence on OS time in patients with low Cripto-1 expression.","https://www.ncbi.nlm.nih.gov/pubmed/31136302","High_Unfavourable",NA,"NA","56956252","NA","EFO_0000182","CRIPTO1 EXPRESSION NA","failed biomarker"
"50","SOREFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","SLC46A3","expression",NA,"cells,tissues,patients",309811107,"Increased expression of SLC46A3 to oppose the progression of hepatocellular carcinoma and its effect on sorafenib therapy.","increased expression of SLC46A3 could favor a better clinical prognosis for patients with HCC, ameliorate sorafenib resistance, and improve drug response. SLC46A3 might serve as a potential prognostic biomarker and therapeutic target in HCC.","https://www.ncbi.nlm.nih.gov/pubmed/30981107","High_favourable",NA,"NA","NA","ENSG00000139508","EFO_0000182","SLC46A3 EXPRESSION NA","failed drug"
"51","NA","NA","HEPATOCELLULAR CARCINOMA","AKR1B10","expression",NA,"NA",30959792,"Diagnostic and Prognostic Potential of AKR1B10 in Human Hepatocellular Carcinoma.","AKR1B10 has emerged as a potential biomarker for the diagnosis and prognosis of HCC","https://www.ncbi.nlm.nih.gov/pubmed/30959792","High_unfavourable",NA,"NA","56956252","ENSG00000198074","EFO_0000182","AKR1B10 EXPRESSION NA","pass"
"52","NA","NA","HEPATOCELLULAR CARCINOMA","LncRNA-MINCR, CDK2 mRNA","RNA,RNA",NA,"tissues",30947664,"Expression and Significance of LncRNA-MINCR and CDK2 mRNA in Primary Hepatocellular Carcinoma.","High expression of LncRNA-MINCR and CDK2 mRNA indicates poor prognosis in patients with hepatocellular carcinoma","https://www.ncbi.nlm.nih.gov/pubmed/30947664","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","NA, NA","EFO_0000182","failed","failed biomarker,failed term"
"53","NA","NA","HEPATOCELLULAR CARCINOMA","UBE2C","expression",NA,"Patients",30914455,"UBE2C functions as a potential oncogene by enhancing cell proliferation, migration, invasion, and drug resistance in hepatocellular carcinoma cells.","Elevated UBE2C mRNA levels in HCC indicated worsened survival probabilities. UBE2C emerges as a marker for prognosis in HCC, and blocking UBE2C may be a novel strategy for HCC therapies.","https://www.ncbi.nlm.nih.gov/pubmed/30914455","High_Unfavourable",NA,"NA","56956252","ENSG00000175063","EFO_0000182","UBE2C EXPRESSION NA","pass"
"54","NA","NA","HEPATOCELLULAR CARCINOMA","CD8,CD25,FOXP3","expression,expression,expression","positive,positive,positive","Patients",30904437,"Increased frequency and FOXP3 expression of human CD8+CD25High+ T lymphocytes and its relation to CD4 regulatory T cells in patients with hepatocellular carcinoma.","Our results revealed that the percentage of peripheral CD8+CD25High+FOXP3+ T cells in HCC patients was significantly higher than controls (P = 0.005).  CD8+CD25High+FOXP3+ T cells similar to conventional Tregs might be used as biomarkers of HCC progression.","https://www.ncbi.nlm.nih.gov/pubmed/30904437","positive unfavourable ,positive unfavourable,positive unfavourable",NA,"NA","56956252","ENSG00000153563, ENSG00000134460, ENSG00000049768","EFO_0000182","failed","failed term"
"55","NA","NA","CHOLANGIOCARCINOMA","CES2","expression",NA,"Patients",30867471,"Prognostic Impact of Carboxylesterase 2 in Cholangiocarcinoma.","CES2 expression may serve as a predictive marker in patients treated with prodrugs converted by CES2.  reduced CES2 expression is associated with poor outcome and low CD8+ T cell infiltration in CCA patients.","https://www.ncbi.nlm.nih.gov/pubmed/30867471",NA,NA,"NA","56956252","ENSG00000172831","EFO_0005221","CES2 EXPRESSION NA","pass"
"56","NA","NA","LIVER CANCER","DYRK2","expression",NA,"Patients",30851422,"Forced expression of DYRK2 exerts anti-tumor effects via apoptotic induction in liver cancer.","DYRK2 expression could be a promising predictive marker of the prognosis in liver cancer. overexpression of DYRK2 resulted in inhibition of cell proliferation and tumor growth, and induction of apoptosis both in vitro and in vivo. Furthermore, we found that liver cancer patients with low DYRK2 expression had a significantly shorter overall survival","https://www.ncbi.nlm.nih.gov/pubmed/30851422",NA,NA,"NA","56956252","ENSG00000127334","MONDO_0002691","DYRK2 EXPRESSION NA","pass"
"57","NA","NA","HEPATOCELLULAR CARCINOMA","PTK2","expression",NA,"tissues",30849480,"PTK2 promotes cancer stem cell traits in hepatocellular carcinoma by activating Wnt/β-catenin signaling.","PTK2 may be a novel prognostic biomarker for HCC recurrence, and a therapeutic target for HCC treatment.  PTK2 apparently acts as an oncogene by increasing CSC traits and tumorigenicity in HCC.","https://www.ncbi.nlm.nih.gov/pubmed/30849480","High_Unfavourable",NA,"NA","56956252","ENSG00000169398","EFO_0000182","PTK2 EXPRESSION NA","pass"
"58","NA","NA","LIVER CANCER","B3GAT3","expression",NA,"celline",30847403,"High Expression B3GAT3 Is Related with Poor Prognosis of Liver Cancer.","overexpressed B3GAT3 promotes the process of tumor EMT, which is an independent prognostic marker to predict the prognosis of liver cancer and might be a potential new target for liver cancer therapy.","https://www.ncbi.nlm.nih.gov/pubmed/30847403","High_Unfavourable",NA,"NA","56956252","ENSG00000149541","MONDO_0002691","B3GAT3 EXPRESSION NA","pass"
"59","NA","NA","HEPATOCELLULAR CARCINOMA","FBXO22","expression",NA,"cellines,tissues",30808376,"FBXO22 promotes the development of hepatocellular carcinoma by regulating the ubiquitination and degradation of p21.","both in vitro and in vivo experiments showed that knocking down FBXO22 expression could inhibit cell proliferation, while overexpression of FBXO22 promoted tumor formation","https://www.ncbi.nlm.nih.gov/pubmed/30808376","High_Unfavourable",NA,"NA","56956252","ENSG00000167196","EFO_0000182","FBXO22 EXPRESSION NA","pass"
"60","REGORAFENIB","NA","HEPATOCELLULAR CARCINOMA","miR-30A, miR-122, miR-125B, miR-200A, miR-374B, miR-15B, miR-107, miR-320, miR-645,CTNNB1,VEGFA","expression,expression,expression,expression,expression,expression,expression,expression,expression,mutation,amplification",NA,"Patients",30738047,"Biomarkers Associated With Response to Regorafenib in Patients With Hepatocellular Carcinoma.","We identified 9 plasma miRNAs (miR-30A, miR-122, miR-125B, miR-200A, miR-374B, miR-15B, miR-107, miR-320, and miR-645) whose levels significantly associated with overall survival time with regorafenib (adjusted P ≤ .05). Functional analyses of these miRNAs indicated that their expression level associated with increased overall survival of patients with tumors of the Hoshida S3 subtype. Mutations in CTNNB1 were detected in 3 of 10 progressors and VEGFA amplification in 1 of 7 responders.","https://www.ncbi.nlm.nih.gov/pubmed/30738047","High_Favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable, Unfavourable, Favourable",NA,"DB08896","24768591","NA, ENSG00000284440, NA, NA, NA, NA, NA, NA, NA, ENSG00000168036, ENSG00000112715","EFO_0000182","failed","failed biomarker,failed term"
"61","NA","NA","HEPATOCELLULAR CARCINOMA","survivin , endoglin","protein expression,protein expression",NA,"Patients",30730204,"Elevated Expressions of Survivin and Endoglin in Patients with Hepatic Carcinoma.","Elevated expressions of survivin and endoglin are associated with histological grade, tumor size, and TNM stage in patients with hepatic carcinoma, indicating that survivin and endoglin might be involved in the pathogenesis of hepatic carcinoma and therapeutic targeting them might be a novel approach for the treatment of hepatic carcinoma.","https://www.ncbi.nlm.nih.gov/pubmed/30730204","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000089685, ENSG00000106991","EFO_0000182","failed","failed term"
"62","NA","NA","HEPATOCELLULAR CARCINOMA","CDH1","mRNA expression/methylation",NA,"Patients",30697077,"Clinicopathological and prognostic significance of CDH1 hypermethylation in hepatocellular carcinoma: a meta-analysis.","CDH1 promoter hypermethylation is a risk factor and promising biomarker for HCC carcinogenesis and diagnosis, as well as a predictor of poor prognosis. High CDH1 mRNA expression was significantly correlated to better overall survival. CDH1 promoter in HCC was more frequently hypermethylated","https://www.ncbi.nlm.nih.gov/pubmed/30697077","High_favourable/High_Unfavourable",NA,"NA","56956252","ENSG00000039068","EFO_0000182","CDH1 MRNA EXPRESSION/METHYLATION NA","pass"
"63","SOREFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","NRAS,KRAS","expression,expression",NA,"celline",30685691,"Neuroblastoma RAS Viral Oncogene Homolog (NRAS) Is a Novel Prognostic Marker and Contributes to Sorafenib Resistance in Hepatocellular Carcinoma.","KRAS upregulation served as a functional compensatory mechanism in the absence of NRAS, which was overcome by combined inhibition of NRAS and KRAS in HCC cells. NRAS expression was elevated in sorafenib-resistant compared to nonresistant HCC cells, and NRAS knockdown enhanced sorafenib efficacy in resistant cells. NRAS appears to be a prognostic marker in HCC and contributes to sorafenib resistance. NRAS inhibition in HCC should be combined with KRAS inhibition to prevent KRAS-mediated rescue effects.","https://www.ncbi.nlm.nih.gov/pubmed/30685691","High_Unfavourable,High_Unfavourable",NA,"NA","NA","ENSG00000213281, ENSG00000133703","EFO_0000182","failed","failed drug,failed term"
"64","NA","NA","HEPATOCELLULAR CARCINOMA","Cytokeratin19 was associated , sal-like protein 4","expression,protein expression",NA,"Patients",30588199,"The Prognostic Value of Cytokeratin and Sal-Like Protein 4 Expression in Hepatocellular Carcinoma and Intra-Hepatic Cholangiocarcinoma in Taiwan.","The expression of cytokeratin19 was associated with sal-like protein 4 expression, as well as poor overall and disease-free survival in hepatocellular carcinoma patients","https://www.ncbi.nlm.nih.gov/pubmed/30588199","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","NA, ENSG00000101115","EFO_0000182","failed","failed biomarker,failed term"
"65","REGORAFENIB","NA","HEPATOCELLULAR CARCINOMA","Pin1","expression",NA,"celline",30583078,"Pin1 inhibition reverses the acquired resistance of human hepatocellular carcinoma cells to Regorafenib via the Gli1/Snail/E-cadherin pathway.","generated Regorafenib-resistant HCC cells and found that they exhibited enhanced tumor invasion and metastasis in vitro and in vivo, and elevated Pin1 levels.  Depletion or overexpression of Pin1 correspondingly inhibited or promoted HCC cell migration and invasion, with altered expression of EMT-related molecules","https://www.ncbi.nlm.nih.gov/pubmed/30583078","High_Unfavourable",NA,"DB08896","24768591","ENSG00000127445","EFO_0000182","PIN1 EXPRESSION NA","pass"
"66","NA","NA","HEPATOCELLULAR CARCINOMA","FBP1","expression",NA,"celline",30429463,"Restoration of FBP1 suppressed Snail-induced epithelial to mesenchymal transition in hepatocellular carcinoma.","a vital role for FBP1 in Snail-induced EMT and prognostic prediction in HCC. we demonstrated that FBP1 was significantly inhibited during Snail-induced epithelial to mesenchymal transition (EMT) and tissues in HCC.Low FBP1 expression was significantly correlated with higher AFP level","https://www.ncbi.nlm.nih.gov/pubmed/30429463","Low_Unfavourable",NA,"NA","56956252","ENSG00000165140","EFO_0000182","FBP1 EXPRESSION NA","pass"
"67","GEMCITABINE","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","SOX9","expression",NA,"celline",30420613,"SOX9 expression decreases survival of patients with intrahepatic cholangiocarcinoma by conferring chemoresistance.","iCCA patients with high SOX9 expression had shorter survival time than those with low SOX9. When SOX9 was knocked down, gemcitabine-induced apoptosis was markedly increased. SOX9 is a biomarker to select iCCA patients eligible for efficient.Silencing SOX9 significantly inhibited gemcitabine-induced phosphorylation of checkpoint kinase 1, a key cell cycle checkpoint protein that coordinates the DNA damage response and inhibited the expression of multidrug resistance genes. chemotherapy.","https://www.ncbi.nlm.nih.gov/pubmed/30420613","High_Unfavourable",NA,"DB00441","60750","ENSG00000125398","EFO_1001961","SOX9 EXPRESSION NA","pass"
"68","NA","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","BAP-1,PBRM-1,S100P","expression,expression,expression",NA,"Patients",30377796,"Prognostic role of BAP-1 and PBRM-1 expression in intrahepatic cholangiocarcinoma.","In ICC, a retained expression of BAP-1 and PBRM-1, and an overexpression of S100P are related to a poor prognosis. A strong retained expression of BAP-1 and PBRM-1 was associated with a reduced overall. An overexpression of S100P was related to a reduced overall survival","https://www.ncbi.nlm.nih.gov/pubmed/30377796",",,High_Unfavourable",NA,"NA","56956252","ENSG00000121481, ENSG00000163939, ENSG00000163993","EFO_1001961","failed","failed term"
"69","SORAFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","H1F-1A,H1F-2A","expression,expression",NA,"Patients",30315182,"Sorafenib resistance in hepatocarcinoma: role of hypoxia-inducible factors.","Clinical data have demonstrated that overexpressed HIF-1α and HIF-2α in HCC patients are reliable markers of a poor prognosis. . there is a marked correlation between the hypoxic microenvironment and sorafenib resistance, suggesting that targeting HIFs is a promising way to increase the efficiency of treatment.","https://www.ncbi.nlm.nih.gov/pubmed/30315182","High_Unfavourable,High_Unfavourable",NA,"DB00398","406563","NA, NA","EFO_0000182","failed","failed biomarker,failed term"
"70","NA","NA","HEPATOCELLULAR CARCINOMA","MCT4,GLUT1","expression,expression",NA,"Patients",30306706,"Aberrant MCT4 and GLUT1 expression is correlated with early recurrence and poor prognosis of hepatocellular carcinoma after hepatectomy.","sing the expression of MCT4 and GLUT1 and their metabolic parameters to determine the metabolic status of tumors is promising for predicting the prognosis of patients with HCC. MCT4 and GLUT1 expression levels were significantly higher in tumor tissues than in adjacent nontumor tissues, and they were positively correlated with tumor size. Survival analysis showed that patients with high expression levels of MCT4 or GLUT1 had a poor OS and TTR.","https://www.ncbi.nlm.nih.gov/pubmed/30306706","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000141526, ENSG00000117394","EFO_0000182","failed","failed term"
"71","NA","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","CD90","expression",NA,"celline",30196535,"CD90 expression in human intrahepatic cholangiocarcinoma is associated with lymph node metastasis and poor prognosis.","CD90+ cells demonstrate high metastatic potential owing to Wnt/β-catenin signaling activation and are associated with poor prognosis in ICC.CD90 expression was significantly associated with lymph node metastasis and was revealed to be an independent prognostic factor.","https://www.ncbi.nlm.nih.gov/pubmed/30196535","Positive unfavourable",NA,"NA","56956252","ENSG00000154096","EFO_1001961","CD90 EXPRESSION NA","pass"
"72","NA","P38","INTRAHEPATIC CHOLANGIOCARCINOMA","S100A11","expression",NA,"celline",30182496,"S100A11 promotes cell proliferation via P38/MAPK signaling pathway in intrahepatic cholangiocarcinoma.","High expression of S100A11 was closely correlated with lymph node metastasis (LNM) and TNM stage and was an independent risk factor for patients' overall survival (OS) and recurrence-free survival (RFS). S100A11-induced proliferation was abolished after treatment with P38 inhibitor. Our findings suggest S100A11/P38/MAPK signaling pathway may be a potential therapeutic target for ICC patients.","https://www.ncbi.nlm.nih.gov/pubmed/30182496","High_Unfavourable",NA,"NA","56956252","ENSG00000163191","EFO_1001961","S100A11 EXPRESSION NA","pass"
"73","NA","NA","HEPATOCELLULAR CARCINOMA","HUS1","expression",NA,"tissues",30182378,"HUS1 checkpoint clamp component (HUS1) is a potential tumor suppressor in primary hepatocellular carcinoma.","HUS1 is a potential tumor suppressor that might produce an antitumor effect in human HCC. Furthermore, HUS1 may serve as a prognostic indicator and could be used for therapeutic application in HCC patients. he expression of HUS1 was significantly decreased in HCC cell lines and tissues, and low HUS1 expression was associated with poor prognosis of HCC patients.","https://www.ncbi.nlm.nih.gov/pubmed/30182378","Low_Unfavourable",NA,"NA","56956252","ENSG00000136273","EFO_0000182","HUS1 EXPRESSION NA","pass"
"74","NA","NA","HEPATOCELLULAR CARCINOMA","miR22","expression",NA,"Patients",32088997,"The expression level and diagnostic value of microRNA-22 in HCC patients.","miR-22 expression was down-regulated in HCC patients. Serum miR-22 might be a novel diagnostic marker in HCC.","https://www.ncbi.nlm.nih.gov/pubmed/32088997","Low_Unfavourable",NA,"NA","56956252","ENSG00000283824","EFO_0000182","MIR22 EXPRESSION NA","pass"
"75","NA","NA","HEPATOCELLULAR CARCINOMA","GTSE1, CDC20, PCNA, MCM6","gene expression ,gene expression ,gene expression ,gene expression",NA,"celline",32082966,"GTSE1, CDC20, PCNA, and MCM6 Synergistically Affect Regulations in Cell Cycle and Indicate Poor Prognosis in Liver Cancer.","Genes like GTSE1, CDC20, PCNA, and MCM6 may be promising prognostic molecular biomarkers in liver cancer. GTSE1, together with CDC20, PCNA, and MCM6, may synergistically promote adverse prognosis in HCC by activating cell cycle.","https://www.ncbi.nlm.nih.gov/pubmed/32082966","High_Unfavourable,High_Unfavourable,High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000075218, ENSG00000117399, ENSG00000132646, ENSG00000076003","EFO_0000182","failed","failed term"
"76","NA","NA","PRIMARY HEPATIC CANCER"," CTSB rs12898","expression",NA,"Patients",31934146,"A single nucleotide polymorphism CTSB rs12898 is associated with primary hepatic cancer in a Chinese population.","Results suggest that CTSB rs12898G > A may play a role in the pathogenesis of PHC, and may be a marker for susceptibility to PHC. CTSB rs12898 was associated with a significantly increased risk of PHC under a dominant model","https://www.ncbi.nlm.nih.gov/pubmed/31934146","High_Unfavourable , chinese population",NA,"NA","56956252","NA","EFO_0000311","CTSB RS12898 EXPRESSION NA","failed biomarker"
"77","NA","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","miR-212-3p,MUC13","RNA,expression",NA,"celline",31837357,"MUC13 promotes intrahepatic cholangiocarcinoma progression via EGFR/PI3K/AKT pathways.","mucin 13 plays a critical role in intrahepatic cholangiocarcinoma. Mucin 13 could have therapeutic value both as a prognostic marker and as a treatment target. loss-of-function and gain-of-function experiments suggested that knockdown of MUC13. aberrant hypermethylation-induced downregulation of miR-212-3p results in overexpression of MUC13 in iCCA attenuated, while overexpression of MUC13 enhanced, the proliferation, motility, and invasiveness of iCCA cells in vitro and in vivo.","https://www.ncbi.nlm.nih.gov/pubmed/31837357","Low_Unfavourable,High_Unfavourable",NA,"NA","56956252","NA, ENSG00000173702","EFO_1001961","failed","failed biomarker,failed term"
"78","NA","NA","HEPATOCELLULAR CARCINOMA","GPC3,GS","protein expression,protein expression",NA,"Tissues",31832976,"Improving pathological early diagnosis and differential biomarker value for hepatocellular carcinoma via RNAscope technology.","cases that were negative for GPC3 by RNAscope were also negative for this protein by IHC.
RNAscope for GPC3 and GS panel was highly specific and sensitive for the pathological identification of dysplastic nodules, early stages of HCCs, and would differentiate them from HCCs and metastatic tumors compared with IHC.","https://www.ncbi.nlm.nih.gov/pubmed/31832976",NA,NA,"NA","56956252","ENSG00000147257, ENSG00000169840","EFO_0000182","failed","failed term"
"79","NA","NA","HEPATOCELLULAR CARCINOMA","HMGA2","expression",NA,"Patients",31823639,"Elevated high mobility group A2 expression in liver cancer predicts poor patient survival.","HMGA2 independently predicts poor prognosis in liver cancer and serves as a molecular marker to determine disease prognosis.  HMGA2 was overexpressed in liver cancer","https://www.ncbi.nlm.nih.gov/pubmed/31823639","High_Unfavourable",NA,"NA","56956252","ENSG00000149948","EFO_0000182","HMGA2 EXPRESSION NA","pass"
"80","NA","NA","HEPATOCELLULAR CARCINOMA","miR-130b ,miR-21","RNA,RNA",NA,"Patients",31660696,"Circulating miR-130b- and miR-21-based diagnostic markers and therapeutic targets for hepatocellular carcinoma.","The circulating miR-130b and miR-21 can be used as potential tumor biomarkers to diagnose liver cancer, and the combined detection of serum miR-130b and miR-21 is superior to the diagnosis of HCC. circulating miR-130b and miR-21 were all upregulated in patients with HCC.","https://www.ncbi.nlm.nih.gov/pubmed/31660696","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","NA, ENSG00000284190","EFO_0000182","failed","failed biomarker,failed term"
"81","NA","NA","HEPATOCELLULAR CARCINOMA","Midkine,thioredoxin,1-methyladenosine ,1-methylguanosine","protein expression, protein expression,protein expression,protein expression",NA,"Patients",31648804,"A combination of α-fetoprotein, midkine, thioredoxin and a metabolite for predicting hepatocellular carcinoma.","Four markers were measured: Midkine and thioredoxin using ELISA, 1-methyladenosine and 1-methylguanosine using a gas chromatography-mass spectrometry (GC-MS). The results were compared with alpha-fetoprotein (AFP). This model may enhance early-stage HCC detection and help to overcome insufficient sensitivity of AFP.","https://www.ncbi.nlm.nih.gov/pubmed/31648804",NA,NA,"NA","56956252","ENSG00000110492, ENSG00000265972, NA, NA","EFO_0000182","failed","failed term"
"82","NA","NA","LIVER CANCER","CDKN2B-AS1","expression",NA,"tissues",31646789,"Overexpressed lncRNA CDKN2B-AS1 is an independent prognostic factor for liver cancer and promotes its proliferation.","The expression of CDKN2B-AS1 in liver cancer was significantly higher compared to normal tissues.","https://www.ncbi.nlm.nih.gov/pubmed/31646789","High_Unfavourable",NA,"NA","56956252","ENSG00000240498","MONDO_0002691","CDKN2B-AS1 EXPRESSION NA","pass"
"83","NA","NA","HEPATOCELLULAR CARCINOMA","CCAT2","expression",NA,"tissues",31626095,"Increased expression of long non-coding RNA CCAT2 predicts poorer prognosis in patients with hepatocellular carcinoma.","lncRNA CCAT2 may serve as a potential biomarker for predicting overall survival time in HCC. CCAT2 expression levels were significantly increased in HCC tissues compared to that in their normal . overall survival rate of HCC patients in high CCAT2 expression group markedly decreased as compared with that of low CCAT2 expression group","https://www.ncbi.nlm.nih.gov/pubmed/31626095","High_Unfavourable",NA,"NA","56956252","ENSG00000280997","EFO_0000182","CCAT2 EXPRESSION NA","pass"
"84","NA","NA","LIVER CANCER","CCT3","proteinexpresson/serum-level",NA,"celline",3150142,"CCT3 acts upstream of YAP and TFCP2 as a potential target and tumour biomarker in liver cancer.","CCT3 was positively correlated with YAP and TFCP2, and elevated levels of the CCT3-YAP-TFCP2 axis might be critical for liver malignancy. seral-CCT3 was proven to be a potential biomarker. CCT3 was elevated in liver cancer, and its higher expression was associated with poorer overall survival.","https://www.ncbi.nlm.nih.gov/pubmed/31501420","High_Unfavourable",NA,"NA","56956252","ENSG00000163468","MONDO_0002691","CCT3 PROTEINEXPRESSON/SERUM-LEVEL NA","pass"
"85","NA","NA","HEPATOCELLULAR CARCINOMA","MAT2B","expression",NA,"celllines,patients",31493275,"MAT2B mediates invasion and metastasis by regulating EGFR signaling pathway in hepatocellular carcinoma","study demonstrated that silencing of MAT2B could suppress liver cancer cell migration and invasion through the inhibition of EGFR signaling, which suggested that MAT2B might serve as a new prognostic marker and therapeutic target for HCC.","https://www.ncbi.nlm.nih.gov/pubmed/31493275",NA,NA,"NA","56956252","ENSG00000038274","EFO_0000182","MAT2B EXPRESSION NA","pass"
"86","NA","NA","HEPATOCELLULAR CARCINOMA","CDHR5","expression",NA,"celllines,patients",31482521,"CDHR5 inhibits proliferation of hepatocellular carcinoma and predicts clinical prognosis.","study not only identified CDHR5 as a novel prognostic biomarker in HCC but also provided evidence that CDHR5 can inhibit HCC cell proliferation. CDHR5 was downregulated in HCC tissues compared with adjacent liver tissues.In vitro experiments showed that CDHR5 suppressed the proliferation capacity of HCC cells.","https://www.ncbi.nlm.nih.gov/pubmed/31482521","High_favourable",NA,"NA","56956252","ENSG00000099834","EFO_0000182","CDHR5 EXPRESSION NA","pass"
"87","NA","NA","HEPATOCELLULAR CARCINOMA","lncRNA-D16366","RNA",NA,"Patients",31475695,"lncRNA-D16366 Is a Potential Biomarker for Diagnosis and Prognosis of Hepatocellular Carcinoma.","lncRNA-D16366 was decreased in HCC, and might be an independent diagnostic and prognostic indicator in the disease.lncRNA-D16366 was proved to be decreased in the tissues and serum among patients with HCC compared with the corresponding controls.","https://www.ncbi.nlm.nih.gov/pubmed/31475695","Low_Unfavourable",NA,"NA","56956252","NA","EFO_0000182","LNCRNA-D16366 RNA NA","failed biomarker"
"88","NA","NA","HEPATOCELLULAR CARCINOMA","miR-155, miR-96,miR-99a","RNA,RNA,RNA",NA,"Patients",31452818,"miR-155, miR-96 and miR-99a as potential diagnostic and prognostic tools for the clinical management of hepatocellular carcinoma.","The expression levels of miR-155 and miR-96 were upregulated in the tissues and serum of patients with HCC, whereas miR-99a expression levels were decreased. ROC) curve analysis revealed that circulating miR-155, miR-96, miR-99a and a combination of these three miRNAs could serve as diagnostic biomarkers for HCC","https://www.ncbi.nlm.nih.gov/pubmed/31452818","High_Unfavourable,High_Unfavourable,Low_Unfavourable",NA,"NA","56956252","NA, ENSG00000240682, NA","EFO_0000182","failed","failed biomarker,failed term"
"89","NA","NA","HEPATOCELLULAR CARCINOMA","miRNA-122,miRNA-224","RNA,RNA",NA,"Patients",31450927,"Diagnostic Performance of microRNA-122 and microRNA-224 in Hepatitis C Virus-Induced Hepatocellular Carcinoma (HCC).","levels of miRNA-122 were significantly lower in HCC group compared to the cirrhosis group and controls, while levels of miRNA-224 were significantly higher. combining any one of these miRNAs with alpha-fetoprotein will increase the diagnostic accuracy compared to using each marker alone.
miRNA-122 and miRNA-224 could serve as biomarkers for the diagnosis of HCC.","https://www.ncbi.nlm.nih.gov/pubmed/31450927","Low_Unfavourable,High_Unfavourable",NA,"NA","56956252","NA, NA","EFO_0000182","failed","failed biomarker,failed term"
"90","NA","NA","HEPATOCELLULAR CARCINOMA","ATAD3A , ATAD3B","expression,expression",NA,"Patients",31423190,"Prognostic value of ATAD3 gene cluster expression in hepatocellular carcinoma.","ATAD3A and ATAD3B may serve as potential prognostic biomarkers for patients with HCC. high ATAD3A and ATAD3B expression had reduced OS rates compared with patients with low ATAD3A and ATAD3B expression","https://www.ncbi.nlm.nih.gov/pubmed/31423190","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000197785, ENSG00000160072","EFO_0000182","failed","failed term"
"91","NA","NA","HEPATOCELLULAR CARCINOMA","miR-182,miR-122-5P","RNA,RNA",NA,"rat",31373075,"Serum miR-182 is a predictive biomarker for dichotomization of risk of hepatocellular carcinoma in rats.","CONCLUSION:","https://www.ncbi.nlm.nih.gov/pubmed/31373075","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000207990, NA","EFO_0000182","failed","failed term"
