"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","sheet","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"158",158,"LOCALLY ADVANCED UNRESECTABLE OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","DINACICLIB, PEMBROLIZUMAB","UNK, UNK","I","Advanced, First Line, Second Line","Maximum tolerated dose (MTD), Define dose-limiting toxicities (DLTs)","NCT01676753","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01676753",1,"DB12021,DB09037","46926350, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"159",159,"ADVANCED BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Negative","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","TAMOXIFEN, RIBOCICLIB, GOSERELIN","UNK, CDK, UNK","I","Advanced, First Line, Second Line","Recommended Phase II Dose (RP2D)","NCT02586675","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02586675",1,"DB00675,DB11730,DB00014","2733526, 44631912, 5311128","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE","pass"
"160",160,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","NTRK1, NTRK2, NTRK3","Positive, Positive, Positive","AND/OR, AND/OR","gene fusion, gene fusion, gene fusion","LAROTRECTINIB, VITRAKVI","UNK, UNK, UNK","II","Advanced, Second Line","Best overall response rate by IRC","NCT02576431","Trial includes other cancer types, Subjects must have received prior standard therapy appropriate for their tumor type and stage of disease, or in the opinion of the investigator, would be unlikely to tolerate or derive clinically meaningful benefit from appropriate standard of care therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02576431",1,"DB14723,NA","67330085, 46188928","ENSG00000198400, ENSG00000148053, ENSG00000140538","MONDO_0007254","NTRK1 GENE FUSION POSITIVE AND/OR NTRK2 GENE FUSION POSITIVE AND/OR NTRK3 GENE FUSION POSITIVE","pass"
"161",161,"ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","BAY1217389, PACLITAXEL","MPS1, UNK","I","Advanced, Second Line","Maximum tolerated dose (MTD), Number of subjects with adverse events and serious adverse events as a measure of safety and tolerability, Plasma concentration of BAY 1217389 characterized by Cmax","NCT02366949","Trial includes other cancer types","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02366949",1,"NA,DB01229","78320750, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"162",162,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","AZD1775","UNK","I","Advanced, Second Line","Number of treatment emergent adverse events (TEAEs), serious adverse events (SAEs) and dose-limiting toxicities (DLTs) as a measure of safety and tolerability.","NCT02482311","Other cancers included in trial","ALV","NA","NA","https://clinicaltrials.gov/show/NCT02482311",1,"NA","24856436","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"163",163,"TRIPLE NEGATIVE INFLAMMATORY BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","NIVOLUMAB, IPI-549","UNK, UNK","I","Second Line","Duration of Response (DoR) ","NCT02637531","Has a TNBC cohort in a trial that includes multiple cancer","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02637531",1,"DB09035,NA","NA, 91933883","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"164",164,"BREAST CANCER","ERBB2, ESR1, PGR","Positive, Positive/Negative, Positive/Negative","AND, AND","Protein Expression&Amplification/Protein Expression, Protein Expression, Protein Expression","MEDI4276","UNK","I","Second Line","Number and percentage of subjects with adverse events (AEs), serious adverse events (SAEs) and dose-limiting (DLTs)","NCT02576548","Has a specific cohort for BC. Prior treatment with trastuzumab, pertuzumab, and T-DM1, either alone or in combination, is required.","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02576548",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","failed drug"
"165",165,"BREAST CANCER (STAGE III-IV)","ERBB2, ESR1, PGR","Positive/Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","DURVALUMAB, IBRUTINIB","PDL1, BTK","I, II","Advanced, Second Line","Phase 1b: Number of Participants With Adverse Events as a Measure of Safety and Tolerability of Ibrutinib and Durvalumab (MEDI4736) and to Find the Recommended Phase II Dose., Phase 2: Efficacy of Ibrutinib in Combination With Durvalumab (MEDI4736) in Participants With Relapsed or Refractory Solid Tumors by Assessing the ORR Per RECIST 1.1.","NCT02403271","Trial had multiple cancers, but had specific conditions for BC. Must have failed two separate treatments","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02403271",1,"DB11714,DB09053","NA, 24821094","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"166",166,"BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","SEVITERONEL","CYP17","I, II","First&Second line","Estimate efficacy of seviteronel as measured by clinical benefit rate at 16 weeks (CBR16) for female subjects with TNBC, Estimate efficacy of seviteronel as measured by clinical benefit rate at 24 weeks (CBR24) for female subjects with ER+ BC, Estimate efficacy of seviteronel as measured by CBR16 for all male BC subjects.","NCT02580448","only requires having no therapeutic treatments for breast cancer","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02580448",1,"DB12275","78357816","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"167",167,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","SEVITERONEL","CYP18","I, II","First&Second line","Estimate efficacy of seviteronel as measured by clinical benefit rate at 16 weeks (CBR16) for female subjects with TNBC, Estimate efficacy of seviteronel as measured by clinical benefit rate at 24 weeks (CBR24) for female subjects with ER+ BC, Estimate efficacy of seviteronel as measured by CBR16 for all male BC subjects.","NCT02580449","only requires having no therapeutic treatments for breast cancer","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02580448",1,"DB12275","78357816","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"168",168,"METASTATIC BREAST CANCER","absent","NA","NA","NA","SEVITERONEL","CYP19","I, II","Advanced, First Line, Second Line","Estimate efficacy of seviteronel as measured by clinical benefit rate at 16 weeks (CBR16) for female subjects with TNBC, Estimate efficacy of seviteronel as measured by clinical benefit rate at 24 weeks (CBR24) for female subjects with ER+ BC, Estimate efficacy of seviteronel as measured by CBR16 for all male BC subjects.","NCT02580450","only requires having no therapeutic treatments for breast cancer. this was a male only cohort","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02580448",1,"DB12275","78357816","ENSG00000104313","EFO_1000984","ABSENT NA NA","no biomarker"
"169",169,"METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression/Protein Expression & Amplification/Mutation","PYROTINIB","UNK","I","Advanced, Second Line","Part 1 Maximum Tolerated Dose (MTD), Part 2 Overall Response Rate (ORR)","NCT02500199","Part 1: Patients with HER2 positive (defined as documented overexpression or amplification or mutation) metastatic breast cancer who have experienced disease progression following at least 2 prior anti-HER2 therapies for metastatic disease that contain trastuzumab with or without pertuzumab, prior T-DM1, or lapatinib therapy is required, Part 2: Patients with HER2 positive metastatic breast cancer who have experienced disease progression after at least 2 prior anti-HER2 therapies for metastatic disease that contain trastuzumab with or without pertuzumab, prior T-DM1, or lapatinib therapy is required;","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02500199",1,"DB14993","51039030","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION & AMPLIFICATION/MUTATION POSITIVE","pass"
"170",170,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression","RO6874281, TRASTUZUMAB","UNK, UNK","I","Advanced, Second Line","Percentage of Participants With Dose-Limiting Toxicities (DLTs), Maximum Tolerated Dose (MTD) of RO6874281, Optimal Biological Dose (OBD) of RO6874281, Recommended Dose for Further Development of RO6874281, Systemic Clearance (CL) of RO6874281, Volume of Distribution at Steady State (Vss) of RO6874281, Area Under the Concentration-Time Curve (AUC) of RO6874281, Maximum Observed Serum Concentration (Cmax) of RO6874281","NCT02627274","must have progressed on at least two lines of HER2-directed therapies in the metastatic setting and the last therapy prior to going on study has to contain a HER2-directed antibody, other cancers included","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02627274",1,"NA,DB00072","NA, 3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","failed drug"
"171",171,"ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","PDR001","PD1","II","Advanced, First Line, Second Line","Part ll: Overall response Rate (ORR)","NCT02404441","other cancers included in trial, breast cancer only in phase II","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02404441",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"172",172,"ADVANCED BREAST CANCER","ESR1","Positive","NA","Protein Expression","GS-5829, EXEMESTANE, FULVESTRANT","UNK, UNK, UNK","I","Advanced, First Line, Second Line","Incidence of dose limiting toxicities","NCT02392611","other cancers are included, must be post-menopausal","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02392611",1,"NA,DB00990,DB00947","86281210, 60198, 104741","ENSG00000091831","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"173",173,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","KRAS, NRAS, BRAF, PIK3CA, PTEN, AKT, LKB1, EGFR, FGFR, ERBB2, MET, RET, KIT, NF1","Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive","AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR","Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation","AZD2014, AZD6244","mTORC1/mTORC2, MEK1/MEK2","I","Advanced, Second Line","Establish feasible dose levels and regimens of AZD2014 and selumetinib when given in combination by close observation of any dose limiting toxicities","NCT02583542","other cancers included","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02583542",1,"NA,NA","25262792, 10127622","ENSG00000133703, ENSG00000213281, ENSG00000157764, ENSG00000121879, ENSG00000171862, ENSG00000166971, ENSG00000118046, ENSG00000146648, ENSG00000068078, ENSG00000141736, ENSG00000105976, ENSG00000165731, ENSG00000157404, ENSG00000196712","MONDO_0007254","KRAS MUTATION POSITIVE AND/OR NRAS MUTATION POSITIVE AND/OR BRAF MUTATION POSITIVE AND/OR PIK3CA MUTATION POSITIVE AND/OR PTEN MUTATION POSITIVE AND/OR AKT MUTATION POSITIVE AND/OR LKB1 MUTATION POSITIVE AND/OR EGFR MUTATION POSITIVE AND/OR FGFR MUTATION POSITIVE AND/OR ERBB2 MUTATION POSITIVE AND/OR MET MUTATION POSITIVE AND/OR RET MUTATION POSITIVE AND/OR KIT MUTATION POSITIVE AND/OR NF1 MUTATION POSITIVE","pass"
"174",174,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","AZD2014, AZD6244","mTORC1/mTORC2, MEK1/MEK2","II","Advanced, Second Line","Establish feasible dose levels and regimens of AZD2014 and selumetinib when given in combination by close observation of any dose limiting toxicities","NCT02583542","other cancers included","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02583542",1,"NA,NA","25262792, 10127622","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"175",175,"LOCALLY ADVANCED URESECTABLE OR METASTATIC BREAST CANCER (III-IV)","ERBB2","Negative","NA","Protein Expression","ENTINOSTAT, IPILIMUMAB, NIVOLUMAB","HDAC, CTLA4","I","Advanced, Second Line","Incidence of adverse events of entinostat and nivolumab in combination with ipilimumab","NCT02453620","must have had at least 1 prior chemotherapy regimen in the metastatic setting, and two lines of hormonal therapy (administered in the adjuvant or metastatic setting) for patients with hormone receptor-positive disease","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02453620",1,"DB11841,DB06186,DB09035","4261, NA, NA","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"176",176,"LOCALLY ADVANCED URESECTABLE OR METASTATIC BREAST CANCER (III-IV)","Absent","NA","NA","NA","ENTINOSTAT, IPILIMUMAB, NIVOLUMAB","HDAC, CTLA4","I","Advanced, Second Line","Incidence of adverse events of entinostat and nivolumab in combination with ipilimumab","NCT02453620","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02453620",1,"DB11841,DB06186,DB09035","4261, NA, NA","ENSG00000104313","MONDO_0007254","ABSENT NA NA","pass"
"177",177,"METASTATIC BREAST CANCER (IV)","ESR1, PGR","Positive, Positive","AND/OR","Protein Expression, Protein Expression","IMP321, PACLITAXEL","UNK, UNK","II","Advanced, First Line","Stage 1 to determine the recommended phase two dose for the randomised phase, Assessment of Progression-Free Survival (PFS)","NCT02614833","Active Comparator: Comparator: Paclitaxel + Placebo","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02614833",1,"NA,DB01229","NA, 36314","ENSG00000091831, ENSG00000082175","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"178",178,"ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, PCAD","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","PCA062","UNK","I","Advanced, Second Line","Incidence rate of dose limiting toxicities","NCT02375958","other cancers included","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02375958",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000062038","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PCAD PROTEIN EXPRESSION POSITIVE","failed drug"
"179",179,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","TREMELIMUMAB, MEDI4736","UNK, UNK","II","Advanced, Second Line","Percentage of Patients With Confirmed Overall Response During Tremelimumab Monotherapy Phase","NCT02527434","drug combinations tested, both tested as monotherapies, other cancers included in trial","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02527434",1,"DB11771,NA","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"180",180,"INVASIVE TRIPLE NEGATIVE BREAST CANCER (IB-IIIC)","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","CYCLOPHOSPHAMIDE, DOXORUBICIN HYDROCHLORIDE, PACLITAXEL, CARBOPLATIN","UNK, UNK, UNK, UNK, UNK","III","Second Line","IDFS","NCT02488967","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02488967",1,"DB00531,NA,DB01229,DB00958","2907, 443939, 36314, 56840877","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"181",181,"INVASIVE TRIPLE NEGATIVE BREAST CANCER (II-III)","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","CARBOPLATIN, CISPLATIN, CAPECITABINE","UNK, UNK, UNK","III","Second Line","Invasive disease-free survival (IDFS) of patients with basal-like triple-negative breast cancer (TNBC)","NCT02445391","Active comparator is just observation, must have completed definitive resection of the primary tumor, Patients must have completed neoadjuvant taxane +/- anthracycline; patients must NOT have received cisplatin or carboplatin or capecitabine as part of their neoadjuvant therapy regimen. Requirement for the randomization step: residual disease in the breast or axilla resected at the time of definitive surgery completed. Drugs tested in different combinations","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02445391",1,"DB00958,DB00515,DB01101","56840877, 135804801, 60953","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"182",182,"METASTATIC BREAST CANCER","ESR1, PGR","Positive, Positive","AND/OR","Protein Expression, Protein Expression","CYCLOPHOSPHAMIDE, LETROZOLE","UNK, UNK","UNK","Advanced, Second Line","Progression free survival(PFS) of the subjects","NCT02583828","trial studied in elderly patients, drugs given in different combinations based on patient critera","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02583828",1,"DB00531,DB01006","2907, 3902","ENSG00000091831, ENSG00000082175","EFO_1000984","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"183",183,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","FULVESTRANT, VANDETANIB","ESR1, VEGFR","II","Advanced, Second Line","Progression-Free Survival (PFS)","NCT02530411","Placebo Comparator: Fulvestrant, must be post-menopausal, must have Progressive disease whilst receiving third generation aromatase inhibitor for locally advanced or metastatic BC or relapsed with metastatic disease whilst receiving third generation AI in adjuvant setting","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02530411",1,"DB00947,DB05294","104741, 3081361","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"184",184,"METASTATIC BREAST CANCER","absent","NA","NA","NA","CYCLOPHOSPHAMIDE","UNK","I","Advanced, Second Line","Identification of the immunological effects, in peripheral blood and tumor biopsies, of the combined treatment with radiation and cyclophosphamide","NCT02441270","In combination with Stereotactic body radiotherapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02441270",1,"DB00531","2907","ENSG00000104313","EFO_1000984","ABSENT NA NA","no biomarker"
"185",185,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","PM01183, OLAPARIB","UNK, UNK","II","Advanced, Second Line","Dose limiting toxicity, Maximum tolerated dose, Efficacy in terms of Tumor Response Rate according to RECIST 1.1 criteria","NCT02684318","other cancers included","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02684318",1,"NA,DB09074","57327016, 23725625","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"186",186,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, B7H3","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","MGD009","UNK","I","Advanced, Second Line","Number of participants with adverse events","NCT02628535","other cancers included","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02628535",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000103855","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND B7H3 PROTEIN EXPRESSION POSITIVE","failed drug"
"187",187,"ADVANCED BREAST CANCER","FGF, FGFR","Positive, Positive","AND/OR","gene others, gene others","PEMIGATINIB, GEMCITABINE, CISPLATIN, PEMBROLIZUMAB, DOCETAXEL, TRASTUZUMAB, INCMGA00012","UNK, UNK, UNK, UNK, UNK, UNK, UNK","I, II","Advanced, Second Line","Determination of the maximum tolerated dose of Pemigatinib as a monotherapy and in combination as measured by the number of participants with adverse events, Assess the pharmacodynamics of pemigatinib as a monotherapy and in combination as indicated by serum phosphorus level","NCT02393248","other cancers are included, drugs tested in different combination in part 3 of the trial. Must be a ""genetic alteration"" in FGF, FGFR","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02393248",1,"DB15102,DB00441,DB00515,DB09037,DB01248,DB00072,NA","86705695, 60750, 135804801, NA, 148124, 3001322, NA","ENSG00000162344, ENSG00000068078","MONDO_0007254","FGF GENE OTHERS POSITIVE AND/OR FGFR GENE OTHERS POSITIVE","pass"
"188",188,"ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","AVELUMAB, UTOMILUMAB","PDL1, 41BB","II","Advanced, First Line, Second Line","Number of participants with Dose-Limiting Toxicities (DLT) , Objective Response - Number of Participants With Objective Response","NCT02554812","Other cancers included in trial","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02554812",1,"DB11945,DB15113","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"189",189,"BREAST CANCER (I-II)","ERBB2","Positive","NA","Protein Expression","CYCLOPHOSPHAMIDE, PACLITAXEL, TRASTUZUMAB","UNK, UNK, ERBB2","II","First Line","Incidence of neutropenia, graded according to the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version (v)4.03, Incidence of paclitaxel-related neuropathy, graded according to the NCI CTCAE v4.03, Incidence of grade 3/4 cardiotoxicity, graded according to the NCI CTCAE v4.03, Incidence of grade 3/4 nausea/vomiting, graded according to the NCI CTCAE v4.03, Recurrence free survival (RFS), Incidence of inability to complete treatment, defined as a patient that requires a lower dose of therapy (defined as dose lowered by 50%), or a postponement of scheduled treatment of longer than 28 days, or discontinuation of treatment for any reason","NCT02654119","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02654119",1,"DB00531,DB01229,DB00072","2907, 36314, 3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"190",190,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ESR1","Positive","NA","Protein Expression","FULVESTRANT","UNK","IV","Advanced, Second Line","Safety","NCT02447328","must have Post menopausal status","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02447328",1,"DB00947","104741","ENSG00000091831","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"191",191,"INVASIVE BREAST CANCER (II-III)","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND","Protein Expression, Protein Expression, Protein Expression","PALBOCICLIB, ENDOCRINE THERAPY","UNK, UNK","III","First Line, Second Line","Invasive Disease Free Survival (iDFS)","NCT02513394","Endocrine therapy not defined","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02513394",1,"DB09073,NA","11478676, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE","pass"
"192",192,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Positive, Positive/Negative, Positive/Negative","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","MARGETUXIMAB, CAPECITABINE, ERIBULIN, GEMCITABINE, VINORELBINE","UNK, UNK, UNK, UNK, UNK","III","Advanced, Second Line","Progression-free survival (PFS) as determined by independent radiological review, Overall survival (OS) defined as the number of days from randomization to the date of death (from any cause), Infusion rate sub-study Grade 3 plus safety","NCT02492711","Active comparator is Trastuzumab, Capecitabine, Eribulin, Gemcitabine, Vinorelbine","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02492711",1,"DB14967,DB01101,DB08871,DB00441,DB00361","NA, 60953, 17755248, 60750, 5311497","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
