"record_id","drug","biomarker","biomarker_relations","biomarker_description","disease","curator","source","source_id"
"BiomarkerKG-2064171984","IMIPRAMINE","ESR1, PR, ERBB2","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Triple negative Breast Cancer","Austin","clinicaltrials.gov","NCT03122444"
"BiomarkerKG-409972175","PALBOCICLIB, LETROZOLE","ERBB2, PR, ESR1","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","Breast Cancer","Austin","clinicaltrials.gov","NCT04047758"
"BiomarkerKG809776760","PYROTINIB, ETOPOSIDE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Locally Advanced or Metastatic Breast Cancer","Austin","clinicaltrials.gov","NCT03923179"
"BiomarkerKG-1915782920","DOCETAXEL, RITONAVIR","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Recurrent Breast Cancer","Austin","clinicaltrials.gov","NCT03890744"
"BiomarkerKG-945630217","DURVALUMAB, TRASTUZUMAB, PERTUZUMAB","ERBB2, PR, ESR1","AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","Breast Cancer (I-II)","Austin","clinicaltrials.gov","NCT03820141"
"BiomarkerKG-735683940","PACLITAXEL, TRASTUZUMAB, CARBOPLATIN, PERTUZUMAB","ERBB2, PR, ESR1","AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","Breast Cancer (Stage II-III)","Austin","clinicaltrials.gov","NCT03820063"
"BiomarkerKG-531346711","ONAPRISTONE","ESR1, PR, ERBB2, Ki67","AND, AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","Breast Cancer (I-II)","Austin","clinicaltrials.gov","NCT04142892"
"BiomarkerKG-859329038","PEMBROLIZUMAB, PEGYLATED LIPOSOMAL DOXORUBICIN","ESR1, ERBB2","AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Metastatic Breast Cancer (III-IV)","Austin","clinicaltrials.gov","NCT03591276"
"BiomarkerKG687053448","PYROTINIB, CAPECITABINE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Breast Cancer","Austin","clinicaltrials.gov","NCT03923166"
"BiomarkerKG-889764113","PEMBROLIZUMAB, PACLITAXEL","ESR1, ERBB2, Ki67","AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","Locally Advanced or Metastatic Luminal B Breast Cancer","Austin","clinicaltrials.gov","NCT03841747"
"BiomarkerKG-103720969","PYROTINIB, ALBUMIN-BOUND PACLITAXEL, TRASTUZUMAB, EPRIRUBICIN, CYCLOPHOSPHAMIDE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION &AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","Breast Cancer (I-III)","Austin","clinicaltrials.gov","NCT04066790"
"BiomarkerKG471505800","LETROZOLE, PYROTINIB, SHR6390","ERBB2, ESR1, PR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Metastatic Breast Cancer","Austin","clinicaltrials.gov","NCT03772353"
"BiomarkerKG-2133494385","CAPECITABINE","ERBB2, ESR1, PR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE","Non-metastatic Invasive Breast Cancer","Austin","clinicaltrials.gov","NCT03958721"
"BiomarkerKG-435072881","DOCETAXEL, CYCLOPHOSPHAMIDE, TRASTUZUMAB","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","Breast Neoplasms","Austin","clinicaltrials.gov","NCT03705429"
"BiomarkerKG-1504794440","PYROTINIB","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","Breast Cancer (IIA-III)","Austin","clinicaltrials.gov","NCT04126525"
"BiomarkerKG1596444665","SAR439859","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Locally Advanced or Metastatic Breast Cancer","Austin","clinicaltrials.gov","NCT03816839"
"BiomarkerKG-2133494385","CAPECITABINE","ERBB2, ESR1, PR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Breast Cancer","Austin","clinicaltrials.gov","NCT03638648"
"BiomarkerKG668649648","IPATASERTIB, PALBOCICLIB, FULVESTRANT","ERBB2, ESR1, PR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Locally Advanced Unresectable or Metastatic Breast Cancer","Austin","clinicaltrials.gov","NCT04060862"
"BiomarkerKG1503939067","ERIBULIN, BALIXAFORTIDE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Locally Recurrent or Metastatic Breast Cancer","Austin","clinicaltrials.gov","NCT03786094"
"BiomarkerKG-2032842044","VENETOCLAX, PALBOCICLIB, LETROZOLE","ESR1, Bcl2, ERBB2","AND, AND/OR","ESR1 PROTEIN EXPRESSION POSITIVE AND BCL2 PROTEIN EXPRESSION POSITIVE AND/OR ERBB2 PROTEIN EXPRESSION POSITIVE","Locally advanced or metastatic breast cancer","Austin","clinicaltrials.gov","NCT03900884"
"BiomarkerKG1511175762","ATEZOLIZUMAB, DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL, PERTUZUMAB, TRASTUZUMAB EMTANSINE","ERBB2, ESR1, PR, PDL1","AND, AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PDL1 PROTEIN EXPRESSION POSITIVE/NEGATIVE","Breast Cancer (I-III)","Austin","clinicaltrials.gov","NCT03726879"
"BiomarkerKG1623818552","FS-1502","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","Locally advanced or metastatic breast cancer","Austin","clinicaltrials.gov","NCT03944499"
"BiomarkerKG-1795461556","ALL-TRANS RETINOIC ACID, ANASTROZOLE","ESR1, ERBB2, Ki67","AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","Breast Neoplasm","Austin","clinicaltrials.gov","NCT04113863"
"BiomarkerKG626426273","BAVITUXIMAB, SORAFENIB","AFP",NA,"AFP PROTEIN EXPRESSION POSITIVE","Locally Advanced or Metastatic Hepatocellular Carinoma","Austin","clinicaltrials.gov","NCT01264705"
"BiomarkerKG-1504368928","PD-0332991","RB",NA,"RB PROTEIN EXPRESSION POSITIVE","Advanced Hepatocellular Carcinoma","Austin","clinicaltrials.gov","NCT01356628"
"BiomarkerKG936726893","EVEROLIMUS, PASIREOTIDE","AFP",NA,"AFP PROTEIN EXPRESSION POSITIVE","Advanced or Metastatic Hepatocellular Carcinoma","Austin","clinicaltrials.gov","NCT01488487"
"BiomarkerKG1436097858","SORAFENIB TOSYLATE, VORINOSTAT","AFP",NA,"AFP PROTEIN EXPRESSION POSITIVE","Advanced hepatocellular carcinoma","Austin","clinicaltrials.gov","NCT01075113"
