"","drug","drug_drugbank_standard","drug_pubchem","biomarker","biomarker_ensembl_standard","biomarker_type","biomarker_direction","biomarker_relations","biomarker_description","disease","diseases_id_standard","drug_targets","QC","curator","raw_table","source","source_id","record_id"
"108","TRASTUZUMAB","DB00072","3001322","ERBB2","ENSG00000141736","protein expression & amplification","positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","metastasis breast cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT01325207","BiomarkerKG-1855863757"
"109","LETROZOLE, TAMOXIFEN, PALBOCICLIB, ENDOCRINE THERAPY","DB01006,DB00675,DB09073,NA","3902, 2733526, 11431660, NA","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression & amplification","positive, positive, negative","AND/OR,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Stage I to III histologically confirmed invasive carcinoma","MONDO_0040677",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02764541","BiomarkerKG2105163997"
"110","ZOLEDRONIC ACID","DB00399","68740","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression & amplification","negative, negative,negative","AND,AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Triple-negative breast cancer","EFO_0005537",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT04045522","BiomarkerKG-26493458"
"111","BEVACIZUMAB, PACLITAXEL","DB00112,DB01229","NA, 36314","ERBB2","ENSG00000141736","protein expression & amplification","negative",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","HER2-negative Metastatic Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT01722968","BiomarkerKG1564751338"
"112","TRASTUZUMAB, ERIBULIN, ERIBULIN MESYLATE","DB00072,DB08871,NA","3001322, 11354606, 17755248","ERBB2","ENSG00000141736","protein expression & amplification","positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","HER2-positive advanced or recurrent Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT01432886","BiomarkerKG117510885"
"113","BEVACIZUMAB","DB00112",NA,"ALDH1","ENSG00000165092","protein expression","positive",NA,"ALDH1 PROTEIN EXPRESSION POSITIVE","Primary breast cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT01190345","BiomarkerKG1152699269"
"114","VINORELBINE, TRASTUZUMAB EMTANSINE","DB00361,DB05773","5311497, NA","ERBB2","ENSG00000141736","protein expression & amplification","positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Pre-Treated HER2-Positive Metastatic Breast Cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02658084","BiomarkerKG1851134241"
"115","ABEMACICLIB, STANDARD ADJUVANT ENDOCRINE THERAPY","DB12001,NA","46220502, NA","ESR1, PR, HER2, ki-67","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000148773","protein expression, protein expression, protein expression & amplification, protein expression","positive, positive, negative, ≥20%","AND,AND,AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND KI-67 PROTEIN EXPRESSION ≥20%","High Risk, Node Positive, Early Stage, Hormone Receptor Positive, Human Epidermal Receptor 2 Negative, Breast Cancer","EFO_0005537",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03155997","BiomarkerKG1910318456"
"116","FORETINIB, LAPATINIB","DB12307,DB01259","42642645, 208908","ERBB2","ENSG00000141736","protein expression & amplification","positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","HER2 positive invasive breast cancer","MONDO_0007254",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT01138384","BiomarkerKG2134783297"
"117","RAMUCIRUMAB, ERIBULIN","DB05578,DB08871","NA, 11354606","ERBB2","ENSG00000141736","protein expression & amplification","positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","invasive breast cancer","EFO_1000307",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT01427933","BiomarkerKG257039608"
"121","APATINIB, PACLITAXEL, CISPLATIN","DB14765,DB01229,DB00515","45139106, 36314, 135804801","ESR1, PR","ENSG00000091831, ENSG00000134551","protein expression, protein expression","negative, negative","AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","breast invasive carcinoma","EFO_0000305",NA,"pass","Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03580395","BiomarkerKG-129758161"
"126","ENTINOSTAT, CAPECITABINE","DB11841,DB01101","4261, 60953","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression","Positve/negative, positive/negative, negative","OR, AND","ESR1 PROTEIN EXPRESSION POSITVE/NEGATIVE OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Metastatic Breast Cancer, Breast Cancer","MONDO_0007254","HDAC, DNA/RNA/Protein Synthesis","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03473639","BiomarkerKG-1684481490"
"127","TALAZOPARIB, SACITUZUMAB GOVITECAN","DB11760,DB12893","135565082, 91668186","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression","Negative, negative, negative","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Metastatic Triple-Negative Breast Cancer","MONDO_0007254","PARP, Topoisomerase I-DNA covalent complexes","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04039230","BiomarkerKG669266934"
"128","TRASTUZUMAB, GDC-0084","DB00072,DB15186","3001322, 57384863","ERBB2","ENSG00000141736","protein expression & amplification","Positve",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","EBBR2-Positive Breast Cancer Brain Metastases","MONDO_0007254","EBBR2, PI3-Kinase","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03765983","BiomarkerKG-1577117464"
"129","ASPIRIN, TAMOXIFEN, DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL","DB00945,DB00675,DB00997,DB00531,DB01229","2244, 2733526, 443939, 2907, 36314","ESR1, ERBB2","ENSG00000091831, ENSG00000141736","protein expression, protein expression","Positve, negative","AND","ESR1 PROTEIN EXPRESSION POSITVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Breast Cancer (Stage I-III)","MONDO_0007254","COX, Estrogen Receptors, DNA/DNA-topoisomerase II complex, DNA, Bcl2","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04038489","BiomarkerKG-2085566364"
"130","NAB-PACLITAXEL",NA,"36314","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Positive/Negative, Negative, Negative","AND, AND","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","primary invasive breast cancer and clinical stage I - III, first option Ⅳ","MONDO_0007254","Bcl2/GP60","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03959397","BiomarkerKG-969815521"
"131","NIVOLUMAB, IPILIMUMAB","DB09035,DB06186","NA, NA","ERBB2, ER, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, negative/positive, negative/positive","AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND/OR ER PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","metastatic breast cancer","EFO_1000984","PD1, CTLA4","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03789110","BiomarkerKG613560300"
"132","SIMVASTATIN","DB00641","54454","ERBB2","ENSG00000141736","protein expression & amplification","Positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Breast Cancer Stage (Stage IV)","MONDO_0007254","UNK","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03324425","BiomarkerKG1251372237"
"133","PEMBROLIZUMAB, TAMOXIFEN","DB09037,DB00675","NA, 2733526","ESR1, ERBB2, PR","ENSG00000091831, ENSG00000141736, ENSG00000134551","mutation, protein expression, protein expression","Positve, negative, positive","AND, AND/OR","ESR1 MUTATION POSITVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Breast Cancer Female","MONDO_0007254","PD1, Estrogen Receptors","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03879174","BiomarkerKG2106518615"
"134","APATINIB, PACLITAXEL, CISPLATIN","DB14765,DB01229,DB00515","45139106, 36314, 135804801","ERBB2","ENSG00000141736","protein expression","Negative",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Breast Cancer","MONDO_0007254","VEGFR2, Bcl2, Replication and transcription of DNA","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03982485","BiomarkerKG351003137"
"135","PALBOCICLIB","DB09073","11431660","ERBB2, ESR1","ENSG00000141736, ENSG00000091831","protein expression, protein expression","Negative, Positive","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Breast Cancer Stage (Stage II-III)","MONDO_0007254","CDK4/CDK6","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03609047","BiomarkerKG-1579678160"
"137","DOCETAXEL, CARBOPLATIN, TRASTUZUMAB, PERTUZUMAB, EPIRUBICIN, CYCLOPHOSPHAMIDE, ATEZOLIZUMAB, TRASTUZUMAB EMTANSINE","DB01248,DB00958,DB00072,DB06366,DB00445,DB00531,DB11595,DB05773","148124, 56840877, 3001322, NA, 65348, 2907, NA, NA","ERBB2, ESR1, PR, PDl1","ENSG00000141736, ENSG00000091831, ENSG00000134551, ENSG00000120217","protein expression & amplification, protein expression, protein expression, protein expression","Positive, positive, positive, positve","AND, AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND PDL1 PROTEIN EXPRESSION POSITVE","Early-stage Breast Cancer","MONDO_0007254","VEGF/microtubule, DNA/Protein, EBBR2, EBBR2,  DNA/DNA-topoisomerase II complex, DNA, CD274, microtubules","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03894007","BiomarkerKG1821783061"
"138","OLAPARIB, VORINOSTAT","DB09074,DB02546","23725625, 5311","ERBB2","ENSG00000141736","protein expression","Negative",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Breast Cancer Metastatic, Breast Cancer","MONDO_0007254","PARP, HDAC","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03742245","BiomarkerKG1189074014"
"140","NIRAPARIB, TRASTUZUMAB","DB11793,DB00072","24958200, 3001322","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression & amplification, protein expression, protein expression","Positive, negativie/positive, negative/positive","AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVIE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Metastatic Breast Cancer, EBBR2 Positive Breast Carcinoma","MONDO_0007254","PARP1/PARP2, EBBR2","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03368729","BiomarkerKG-388096993"
"141","DOCETAXEL, CARBOPLATIN, TRASTUZUMAB, PERTUZUMAB","DB01248,DB00958,DB00072,DB06366","148124, 56840877, 3001322, NA","ERBB2","ENSG00000141736","protein expression & amplification","Positve",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","Invasive breast carcinoma","EFO_1000307","VEGF/microtuble, DNA/Protein, EBBR2, EBBR2","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04094896","BiomarkerKG1874182044"
"144","NIVOLUMAB, PACLITAXEL, ANTHRACYCLINE, CYCLOPHOSPHAMIDE, ENDOCRINE THERAPY","DB09035,DB01229,NA,DB00531,NA","NA, 36314, NA, 2907, NA","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, negative/positive","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Breast Cancer","MONDO_0007254","PD1, Bcl2, DNA/DNA-topoisomerase II complex, DNA,  hormone receptors","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04109066","BiomarkerKG-403694518"
"146","RUCAPARIB","DB12332","9931954","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","negative, negative, negative","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","TNBC Breast Cancer  (Stage I-III)","MONDO_0007254","PDL1","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03911453","BiomarkerKG1055961785"
"150","ERIBULIN","DB08871","11354606","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, negative/positive, negative/positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Metastatic Breast Cancer","EFO_1000984","Tubulin","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03637868","BiomarkerKG1604727650"
"151","RIBOCICLIB, LETROZOLE OR ANASTROZOLE, GOSERELIN","DB11730,NA,DB00014","44631912, NA, 5311128","ERBB2, PR,ESR1","ENSG00000141736, ENSG00000134551, ENSG00000091831","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","Advanced Breast Cancer","MONDO_0007254","CDK4/CDK6, aromatase OR aromatase, GnRH receptors","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03822468","BiomarkerKG1707410640"
"152","IPILIMUMAB, NIVOLUMAB","DB06186,DB09035","NA, NA","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, negative, negative","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","TNBC Breast Cancer","MONDO_0007254","CTLA4, PD1","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03546686","BiomarkerKG751083782"
"154","PALBOCICLIB, EXEMESTANE, GOSERELIN","DB09073,DB00990,DB00014","11431660, 60198, 5311128","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Metastatic Breast Cancer","EFO_1000984","CDK4/CDK6, aromatase, GnRH receptors","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT02917005","BiomarkerKG145449339"
"155","ERIBULIN","DB08871","11354606","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","locally-recurrent or metastatic breast cancer","MONDO_0007254","Tubulin","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03795012","BiomarkerKG1604727650"
"156","RIBOCICLIB, LETROZOLE","DB11730,DB01006","44631912, 3902","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, Positive, negative/positive","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","non-metastatic primary luminal breast cancer (Stage II-III)","MONDO_0007254","UNK","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03283384","BiomarkerKG233970655"
"158","PEMBROLIZUMAB, TRASTUZUMAB BIOSIMILAR ABP 980, PERTUZUMAB","DB09037,NA,DB06366","NA, NA, NA","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression & amplification, protein expression, protein expression","Positive, negative/positive, negative/positive","AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Breast Cancer","MONDO_0007254","UNK","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03988036","BiomarkerKG-246127579"
"159","CFI-400945, DURVALUMAB","NA,DB11714","58486178, NA","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, negative, negative","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","TNBC Breast Cancer","MONDO_0007254","PLK4, PDl1","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04176848","BiomarkerKG-1294313271"
"160","RIBOCICLIB, LETROZOLE OR ANASTROZOLE, GOSERELIN","DB11730,NA,DB00014","44631912, NA, 5311128","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Premenopausal or perimenopausal locally advanced or metastatic breast cancer","MONDO_0007254","UNK","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03839823","BiomarkerKG1823593815"
"161","NAB-PACLITAXEL",NA,"36314","ERBB2, ESR1","ENSG00000141736, ENSG00000091831","protein expression, protein expression","Negative, Positive","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Recurrent or metastatic breast cancer","MONDO_0007254","UNK","pass","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04194684","BiomarkerKG1596444665"
"163","NIVOLUMAB, IPILIMUMAB","DB09035,DB06186","NA, NA","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","Protein Expression, Protein expression, Protein Expression","Negative, Negative, Negative","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Triple negative Breast Cancer","EFO_0005537","PD1, CTLA4","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03818685","BiomarkerKG340012207"
"164","IMIPRAMINE","DB00458","8228","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","Protein Expression, Protein expression, Protein Expression & amplification","Negative, Negative, Negative","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Triple negative Breast Cancer","EFO_0005537","FoxM1","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03122444","BiomarkerKG-2064171984"
"166","PALBOCICLIB, LETROZOLE","DB09073,DB01006","11431660, 3902","ERBB2, PR, ESR1","ENSG00000141736, ENSG00000134551, ENSG00000091831","Protein Expression, Protein expression, Protein Expression","Negative, Positive, Positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","Breast Cancer","MONDO_0007254","CDK4/CDK6, aromatase","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04047758","BiomarkerKG-409972175"
"168","PYROTINIB, ETOPOSIDE","DB14993,DB00773","51039030, 36462","ERBB2","ENSG00000141736","Protein Expression & Amplification","Positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Locally Advanced or Metastatic Breast Cancer","MONDO_0007254","ERBB2, Topoisomerase II/DNA","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03923179","BiomarkerKG809776760"
"169","DOCETAXEL, RITONAVIR","DB01248,DB00503","148124, 392622","ERBB2","ENSG00000141736","Protein Expression","Negative",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Recurrent Breast Cancer","MONDO_0007254","Microtubles, UNK","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03890744","BiomarkerKG-1915782920"
"170","DURVALUMAB, TRASTUZUMAB, PERTUZUMAB","DB11714,DB00072,DB06366","NA, 3001322, NA","ERBB2, PR, ESR1","ENSG00000141736, ENSG00000134551, ENSG00000091831","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","Positive, Negative, Negative","AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","Breast Cancer (I-II)","MONDO_0007254","PDL1, ERBB2, ERBB2","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03820141","BiomarkerKG-945630217"
"171","PACLITAXEL, TRASTUZUMAB, CARBOPLATIN, PERTUZUMAB","DB01229,DB00072,DB00958,DB06366","36314, 3001322, 56840877, NA","ERBB2, PR, ESR1","ENSG00000141736, ENSG00000134551, ENSG00000091831","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","Positive, Negative, Negative","AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","Breast Cancer (Stage II-III)","MONDO_0007254","Bcl2, ERBB2, DNA/Protein, ERBB2","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03820063","BiomarkerKG-735683940"
"172","ONAPRISTONE","DB12637","5311505","ESR1, PR, ERBB2, Ki67","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000148773","Protein Expression, Protein expression, Protein Expression, Protein expression","Positive, Positive, Negative, Positive","AND, AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","Breast Cancer (I-II)","MONDO_0007254","progesterone receptor","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04142892","BiomarkerKG-531346711"
"173","PEMBROLIZUMAB, PEGYLATED LIPOSOMAL DOXORUBICIN","DB09037,NA","NA, NA","ESR1, ERBB2","ENSG00000091831, ENSG00000141736","Protein Expression, Protein Expression","Positive, Negative","AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Metastatic Breast Cancer (III-IV)","MONDO_0007254","PD1, Topoisomerase II/DNA","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03591276","BiomarkerKG-859329038"
"174","PYROTINIB, CAPECITABINE","DB14993,DB01101","51039030, 60953","ERBB2","ENSG00000141736","Protein Expression & Amplification","Positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Breast Cancer","MONDO_0007254","ERBB2, DNA/RNA/Protein Synthesis","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03923166","BiomarkerKG687053448"
"175","PEMBROLIZUMAB, PACLITAXEL","DB09037,DB01229","NA, 36314","ESR1, ERBB2, Ki67","ENSG00000091831, ENSG00000141736, ENSG00000148773","Protein Expression, Protein expression, Protein Expression","Positive, Negative, Positive","AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","Locally Advanced or Metastatic Luminal B Breast Cancer","MONDO_0007254","PDL, Bcl2","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03841747","BiomarkerKG-889764113"
