"record_id","drug","biomarker","biomarker_relations","biomarker_description","disease","curator","source","source_id"
"BiomarkerKG-1795461556","ALL-TRANS RETINOIC ACID, ANASTROZOLE","ESR1, ERBB2, Ki67","AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","BREAST NEOPLASM","ALV","clinicaltrials.gov","NCT04113863"
"BiomarkerKG1649159632","PYROTINIB, CAPECITABINE","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT04001621"
"BiomarkerKG-1239420556","NIVOLUMAB, IPILIMUMAB, BICALUTAMIDE","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","METASTATIC OR LOCALLY ADVANCED UNRESECTABLE BREAST CANCER","ALV","clinicaltrials.gov","NCT03650894"
"BiomarkerKG-2135616330","NAB-PACLITAXEL, CARBOPLATIN, CAPECITABINE","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","ADVANCED TRIPLE-NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT04159142"
"BiomarkerKG2061889424","RIBOCICLIB, TRASTUZUMAB, LETROZOLE","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION AND AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","POSTMENOPAUSAL ADVANCED METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03913234"
"BiomarkerKG905609745","LETROZOLE, PALBOCICLIB","ERBB2, ESR1, PGR, Ki67","AND, AND/OR, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE AND KI67 PROTEIN EXPRESSION POSITIVE","BREAST CANCER (II-IIIB)","ALV","clinicaltrials.gov","NCT03819010"
"BiomarkerKG345427327","PYROTINIB, TRASTUZUMAB, DOCETAXEL, CARBOPLATIN","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","EARLY STAGE OR LOCALLY ADVANCED BREAST CANCER","ALV","clinicaltrials.gov","NCT03756064"
"BiomarkerKG702885081","COPANLISIB, TRASTUZUMAB EMTANSINE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","UNRESECTABLE LOCALLY ADVANCED OR METASTATIC  BREAST CANCER","ALV","clinicaltrials.gov","NCT04042051"
"BiomarkerKG-1430355371","ATEZOLIZUMAB, CAPECITABINE","ERBB2, ESR1, PGR, PDL1","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PDL1 PROTEIN EXPRESSION POSITIVE","TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03756298"
"BiomarkerKG-1139236655","DURVALUMAB, OLAPARIB, FULVESTRANT","ERBB2, ESR1, ATM, BARD1, BRCA1, BRCA2, BRIP1, CDK12, CHEK1, CHEK2, FANCA, FAND2, FANCL, MRE11A, NBN, PALB2, PPP2R2A, RAD51B, RAD51C, RAD51D, RAD54L, AKT1, FGFR1, FGFR2, FGFR3, PIK3CA","AND, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION/MUTATION POSITIVE AND/OR ATM MUTATION POSITIVE AND/OR BARD1 MUTATION POSITIVE AND/OR BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE AND/OR BRIP1 MUTATION POSITIVE AND/OR CDK12 MUTATION POSITIVE AND/OR CHEK1 MUTATION POSITIVE AND/OR CHEK2 MUTATION POSITIVE AND/OR FANCA MUTATION POSITIVE AND/OR FAND2 MUTATION POSITIVE AND/OR FANCL MUTATION POSITIVE AND/OR MRE11A MUTATION POSITIVE AND/OR NBN MUTATION POSITIVE AND/OR PALB2 MUTATION POSITIVE AND/OR PPP2R2A MUTATION POSITIVE AND/OR RAD51B MUTATION POSITIVE AND/OR RAD51C MUTATION POSITIVE AND/OR RAD51D MUTATION POSITIVE AND/OR RAD54L MUTATION POSITIVE AND/OR AKT1 MUTATION POSITIVE AND/OR FGFR1 MUTATION POSITIVE AND/OR FGFR2 MUTATION POSITIVE AND/OR FGFR3 MUTATION POSITIVE AND/OR PIK3CA MUTATION POSITIVE","METASTATIC OR LOCALLY ADVANCED BREAST CANCER","ALV","clinicaltrials.gov","NCT04053322"
"BiomarkerKG1505390240","PYROTINIB MALEATE, DOCETAXEL","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03876587"
"BiomarkerKG-2093307115","TESETAXEL, CAPECITABINE","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03858972"
"BiomarkerKG729598124","PYROTINIB MALEATE, ALBUMIN PACLITAXEL, TRASTUZUMAB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","EARLY OR LOCALLY ADVANCED BREAST CANCER (II-III)","ALV","clinicaltrials.gov","NCT04152057"
"BiomarkerKG-1616092040","OLAPARIB","ERBB2, ESR1, PGR, BRCA1, BRCA2","AND/OR, AND/OR, AND, AND","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND BRCA1 MUTATION NEGATIVE AND BRCA2 MUTATION NEGATIVE","METASTATIC MALIGNANT NEOPLASM IN THE CHEST WALL","ALV","clinicaltrials.gov","NCT03955640"
"BiomarkerKG-226063560","PALBOCICLIB, LETROZOLE","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","BREAST CANCER STAGE IV","ALV","clinicaltrials.gov","NCT03870919"
"BiomarkerKG-601099740","PYROTINIB, TRASTUZUMAB, DOCETAXEL","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03863223"
"BiomarkerKG-274333150","SACITUZUMAB GOVITECAN","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","METASTATIC OR LOCALLY RECURRENT INOPERABLE BREAST CANCER","ALV","clinicaltrials.gov","NCT03901339"
"BiomarkerKG921194961","NERATINIB, PACLITAXEL, CARBOPLATIN","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","EARLY STAGE TRIPLE-NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03812393"
"BiomarkerKG-1540813963","PALBOCICLIB, BOSUTINIB, FULVESTRANT","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","LOCOREGIONALLY RECURRENT OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03854903"
"BiomarkerKG1068866669","LERONLIMAB, CARBOPLATIN","ERBB2, CCR5, ESR1, PGR","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND CCR5 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","LOCALLY ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03838367"
"BiomarkerKG-1471164927","LY3023414, PREXASERTIB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT04032080"
"BiomarkerKG-57313394","NAB-PACLITAXEL, CARBOPLATIN, EPIRUBICIN, CYCLOPHOSPHAMIDE","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT04067102"
"BiomarkerKG-617297347","ABEMACICLIB, COPANLISIB, COPANLISIB HYDROCHLORIDE, FULVESTRANT","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03939897"
"BiomarkerKG-891847787","PYROTINIB MALEATE, ALBUMIN PACLITAXEL, TRASTUZUMAB, EPIRUBICIN HYDROCHLORIDE, CYCLOPHOSPHAMIDE","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","EARLY OR LOCALLY ADVANCED BREAST CANCER (II-III)","ALV","clinicaltrials.gov","NCT04152057"
"BiomarkerKG1568508684","PEMBROLIZUMAB, LENVATINIB","ERBB2, ESR1, PGR, LDH","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND LDH PROTEIN EXPRESSION POSITIVE","ADVANCED TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03797326"
"BiomarkerKG551843489","9-ING-41, GEMCITABINE, DOXORUBICIN, LOMUSTINE, CARBOPLATIN, NAB PACLITAXEL, PACLITAXEL, IRINOTECAN","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03678883"
"BiomarkerKG1477271139","NAPTUMOMAB ESTAFENATOX, DURVALUMAB","ERBB2, ESR1, PGR, 5T4","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND 5T4 PROTEIN EXPRESSION POSITIVE/NEGATIVE","ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03983954"
"BiomarkerKG285317920","NAPTUMOMAB ESTAFENATOX, DURVALUMAB","ERBB2, ESR1, 5T4","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND 5T4 PROTEIN EXPRESSION POSITIVE/NEGATIVE","ADVANCED OR METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03983954"
"BiomarkerKG-482905584","REBASTINIB, CARBOPLATIN","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03717415"
"BiomarkerKG-1661914186","PYROTINIB, SHR6390, LETROZOLE","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT04095390"
"BiomarkerKG-1814161762","PYROTINIB, SHR6390, CAPECITABINE","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT04095390"
"BiomarkerKG-437004938","ATEZOLIZUMAB, IPATASERTIB, PACLITAXEL","ERBB2, ESR1, PGR, PDL1, BRCA1, BRCA2","AND, AND, AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PDL1 PROTEIN EXPRESSION NEGATIVE AND BRCA1 MUTATION NEGATIVE AND BRCA2 MUTATION NEGATIVE","LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT04177108"
"BiomarkerKG-1110084195","NIVOLUMAB, ABEMACICLIB, ANASTROZOLE, PALBOCICLIB","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","BREAST CANCER","ALV","clinicaltrials.gov","NCT04075604"
"BiomarkerKG1364396589","NIVOLUMAB, DOXORUBICIN","ERBB2, ESR1, PGR, Ki67","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","RESECTABLE PRIMARY TRIPLE NEGATIVE BREAST CANCER (STAGE I-III)","ALV","clinicaltrials.gov","NCT03815890"
"BiomarkerKG-1448510916","NIVOLUMAB, PACLITAXEL, DOXORUBICIN, CYCLOPHOSPHAMIDE","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","INFLAMMATORY TRIPLE NEGATIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03742986"
"BiomarkerKG-2022083316","NIVOLUMAB, PACLITAXEL, DOXORUBICIN, CYCLOPHOSPHAMIDE, TRASTUZUMAB, PERTUZUMAB","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","INFLAMMATORY BREAST CANCER","ALV","clinicaltrials.gov","NCT03742986"
"BiomarkerKG356324322","ABEMACICLIB, DURVALUMAB, AROMATASE INHIBITOR","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED BREAST CANCER (II-III)","ALV","clinicaltrials.gov","NCT04088032"
"BiomarkerKG-104675348","PACLITAXEL, CARBOPLATIN, CYCLOPHOSPHAMIDE","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE INVASIVE BREAST CANCER","ALV","clinicaltrials.gov","NCT03858322"
"BiomarkerKG-1384231495","RIBOCICLIB, ENDOCRINE THERAPY","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","VISCERAL METASTATIC BREAST CANCER","ALV","clinicaltrials.gov","NCT03905343"
"BiomarkerKG34334946","ENTINOSTAT, CAPECITABINE","ESR1, PGR, ERBB2","OR, AND","ESR1 PROTEIN EXPRESSION POSITVE/NEGATIVE OR PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","METASTATIC BREAST CANCER, BREAST CANCER","TVV","clinicaltrials.gov","NCT03473639"
"BiomarkerKG1946912801","TALAZOPARIB, SACITUZUMAB GOVITECAN","ESR1, PGR, ERBB2","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE-NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04039230"
"BiomarkerKG-1577117464","TRASTUZUMAB, GDC-0084","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","ERBB2-POSITIVE BREAST CANCER BRAIN METASTASES","TVV","clinicaltrials.gov","NCT03765983"
"BiomarkerKG-2085566364","ASPIRIN, TAMOXIFEN, DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL","ESR1, ERBB2","AND","ESR1 PROTEIN EXPRESSION POSITVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","BREAST CANCER (STAGE I-III)","TVV","clinicaltrials.gov","NCT04038489"
"BiomarkerKG-1363681835","NAB-PACLITAXEL","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","PRIMARY INVASIVE BREAST CANCER AND CLINICAL STAGE I - III, FIRST OPTION Ⅳ","TVV","clinicaltrials.gov","NCT03959397"
"BiomarkerKG-1494023734","NIVOLUMAB, IPILIMUMAB","ERBB2, ER, PGR","AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND/OR ER PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03789110"
"BiomarkerKG1251372237","SIMVASTATIN","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","BREAST CANCER STAGE (STAGE IV)","TVV","clinicaltrials.gov","NCT03324425"
"BiomarkerKG-153611909","PEMBROLIZUMAB, TAMOXIFEN","ESR1, ERBB2, PGR","AND, AND/OR","ESR1 MUTATION POSITVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","BREAST CANCER FEMALE","TVV","clinicaltrials.gov","NCT03879174"
"BiomarkerKG351003137","APATINIB, PACLITAXEL, CISPLATIN","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","BREAST CANCER","TVV","clinicaltrials.gov","NCT03982485"
"BiomarkerKG-1579678160","PALBOCICLIB","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","BREAST CANCER STAGE (STAGE II-III)","TVV","clinicaltrials.gov","NCT03609047"
"BiomarkerKG118603023","DOCETAXEL, CARBOPLATIN, TRASTUZUMAB, PERTUZUMAB, EPIRUBICIN, CYCLOPHOSPHAMIDE, ATEZOLIZUMAB, TRASTUZUMAB EMTANSINE","ERBB2, ESR1, PGR, PDl1","AND, AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE AND PDL1 PROTEIN EXPRESSION POSITVE","EARLY-STAGE BREAST CANCER","TVV","clinicaltrials.gov","NCT03894007"
"BiomarkerKG1189074014","OLAPARIB, VORINOSTAT","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","BREAST CANCER METASTATIC, BREAST CANCER","TVV","clinicaltrials.gov","NCT03742245"
"BiomarkerKG-388096993","NIRAPARIB, TRASTUZUMAB","ERBB2, ESR1, PR","AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVIE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","METASTATIC BREAST CANCER, ERBB2 POSITIVE BREAST CARCINOMA","TVV","clinicaltrials.gov","NCT03368729"
"BiomarkerKG1874182044","DOCETAXEL, CARBOPLATIN, TRASTUZUMAB, PERTUZUMAB","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","INVASIVE BREAST CARCINOMA","TVV","clinicaltrials.gov","NCT04094896"
"BiomarkerKG2087957969","NIVOLUMAB, PACLITAXEL, ANTHRACYCLINE, CYCLOPHOSPHAMIDE, ENDOCRINE THERAPY","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","BREAST CANCER","TVV","clinicaltrials.gov","NCT04109066"
"BiomarkerKG1644765431","RUCAPARIB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TNBC BREAST CANCER  (STAGE I-III)","TVV","clinicaltrials.gov","NCT03911453"
"BiomarkerKG-262451806","PALBOCICLIB, LETROZOLE, TRASTUZUMAB, PERTUZUMAB","ESR1, ERBB2","AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","BREAST CANCER","TVV","clinicaltrials.gov","NCT03644186"
"BiomarkerKG-1083648118","ERIBULIN","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03637868"
"BiomarkerKG-225817822","RIBOCICLIB, LETROZOLE OR ANASTROZOLE, GOSERELIN","ERBB2, PGR,ESR1","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT03822468"
"BiomarkerKG-2009160467","IPILIMUMAB, NIVOLUMAB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TNBC BREAST CANCER","TVV","clinicaltrials.gov","NCT03546686"
"BiomarkerKG-1723002468","PALBOCICLIB, EXEMESTANE, GOSERELIN","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT02917005"
"BiomarkerKG-604627963","RIBOCICLIB, LETROZOLE","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","NON-METASTATIC PRIMARY LUMINAL BREAST CANCER (STAGE II-III)","TVV","clinicaltrials.gov","NCT03283384"
"BiomarkerKG-1030601521","ERIBULIN, NIVOLUMAB","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT04061863"
"BiomarkerKG138689674","PEMBROLIZUMAB, TRASTUZUMAB BIOSIMILAR ABP 980, PERTUZUMAB","ERBB2, ESR1, PGR","AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","BREAST CANCER","TVV","clinicaltrials.gov","NCT03988036"
"BiomarkerKG397892956","CFI-400945, DURVALUMAB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TNBC BREAST CANCER","TVV","clinicaltrials.gov","NCT04176848"
"BiomarkerKG721208190","RIBOCICLIB, LETROZOLE OR ANASTROZOLE, GOSERELIN","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","PREMENOPAUSAL OR PERIMENOPAUSAL LOCALLY ADVANCED OR METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03839823"
"BiomarkerKG1288315268","CHIDAMIDE, CISPLATIN","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04192903"
"BiomarkerKG-2056951534","PYROTINIB, FULVESTRANT","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT04034589"
"BiomarkerKG-1897970195","LASOFOXIFENE","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED OR METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03781063"
