"record_id","drug_name","drugbank_id","pubchem_id"
"BiomarkerKG1739611934","ENDOCRINE THERAPY","NA"," NA"
"BiomarkerKG-915701665","CAPIVASERTIB","DB12218","25227436"
"BiomarkerKG-915701665","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-689338926","ALPELISIB","DB12015","56649450"
"BiomarkerKG-689338926","ENZALUTAMIDE","DB08899"," 15951529"
"BiomarkerKG-975392028","IPATASERTIB","DB11743","24788740"
"BiomarkerKG-975392028","RUCAPARIB","DB12332"," 9931953"
"BiomarkerKG2065001521","PERTUZUMAB","DB06366","NA"
"BiomarkerKG2065001521","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG2065001521","COPANLISIB","DB12483"," 135565596"
"BiomarkerKG-170542798","PACLITAXEL","DB01229","36314"
"BiomarkerKG-170542798","TALIMOGENE LAHERPAREPVEC","DB13896"," NA"
"BiomarkerKG-743019303","TAMOXIFEN","DB00675","2733526"
"BiomarkerKG-743019303","TALIMOGENE LAHERPAREPVEC","DB13896"," NA"
"BiomarkerKG-743019303","LETROZOLE","DB01006"," 3902"
"BiomarkerKG-743019303","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-743019303","EXEMESTANE","DB00990"," 60198"
"BiomarkerKG-743019303","ANASTROZOLE","DB01217"," 2187"
"BiomarkerKG302277995","COPANLISIB","DB12483","135565596"
"BiomarkerKG302277995","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-635888986","AVELUMAB","DB11945","NA"
"BiomarkerKG-635888986","BINIMETINIB","DB11967"," 10288191"
"BiomarkerKG-635888986","PF-04518600","NA"," NA"
"BiomarkerKG-635888986","UTOMILUMAB","DB15113"," NA"
"BiomarkerKG-544075815","PYROTINIB","DB14993","51039030"
"BiomarkerKG-544075815","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-544075815","AROMATASE INHIBITORS","NA"," NA"
"BiomarkerKG-820225238","LEFLUNOMIDE","DB01097","3899"
"BiomarkerKG-10442632","TESETAXEL","DB12019","6918574"
"BiomarkerKG-10442632","NIVOLUMAB","DB09035"," NA"
"BiomarkerKG-10442632","PEMBROLIZUMAB","DB09037"," NA"
"BiomarkerKG-10442632","ATEZOLIZUMAB","DB11595"," NA"
"BiomarkerKG-1944338472","TESETAXEL","DB12019","6918574"
"BiomarkerKG-1575067713","TAMOXIFEN","DB00675","2733526"
"BiomarkerKG-1945881394","CELECOXIB","DB00482","2662"
"BiomarkerKG-1945881394","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-1945881394","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG-1945881394","DOXORUBICIN HYDROCHLORIDE","NA"," 443939"
"BiomarkerKG-1945881394","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-1945881394","RECOMBINANT INTERFERON ALFA-2B","NA"," NA"
"BiomarkerKG-1945881394","RINTATOLIMOD","NA"," 135537060"
"BiomarkerKG-1955995515","ATEZOLIZUMAB","DB11595","NA"
"BiomarkerKG-1955995515","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-1955995515","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG-1955995515","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG1825741352","CYCLOPHOSPHAMIDE","DB00531","2907"
"BiomarkerKG1825741352","LYSO-THERMOSENSITIVE LIPOSOMAL DOXORUBICIN","NA"," NA"
"BiomarkerKG156569843","ATORVASTATIN","DB01076","60822"
"BiomarkerKG-179581873","IPILIMUMAB","DB06186","NA"
"BiomarkerKG-179581873","NIVOLUMAB","DB09035"," NA"
"BiomarkerKG-179581873","TALIMOGENE LAHERPAREPVEC","DB13896"," NA"
"BiomarkerKG-1062210253","IPILIMUMAB","DB06186","NA"
"BiomarkerKG-1062210253","NIVOLUMAB","DB09035"," NA"
"BiomarkerKG-1062210253","TALIMOGENE LAHERPAREPVEC","DB13896"," NA"
"BiomarkerKG2095042473","PEMBROLIZUMAB","DB09037","NA"
"BiomarkerKG2095042473","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG2095042473","GX-I7","NA"," NA"
"BiomarkerKG-1855863757","TRASTUZUMAB","DB00072","3001322"
"BiomarkerKG1193506727","RUCAPARIB","DB12332","9931953"
"BiomarkerKG1193506727","SACITUZUMAB GOVITECAN","DB12893"," 91668186"
"BiomarkerKG-563823741","PALBOCICLIB","DB09073","11478676"
"BiomarkerKG-563823741","LETROZOLE","DB01006"," 3902"
"BiomarkerKG1689293800","ATEZOLIZUMAB","DB11595","NA"
"BiomarkerKG1689293800","G100","NA"," 159968"
"BiomarkerKG1323565151","TREMELIMUMAB","DB11771","NA"
"BiomarkerKG1323565151","DURVALUMAB","DB11714"," NA"
"BiomarkerKG3321966","CB-839","NA","71577426"
"BiomarkerKG3321966","TALAZOPARIB","DB11760"," 135565082"
"BiomarkerKG1410798894","IPATASERTIB","DB11743","24788740"
"BiomarkerKG1410798894","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG1410798894","LETROZOLE","DB01006"," 3902"
"BiomarkerKG1410798894","PALBOCICLIB","DB09073"," 11478676"
"BiomarkerKG-37577398","TAMOXIFEN CITRATE","NA","2733525"
"BiomarkerKG-37577398","LETROZOLE","DB01006"," 3902"
"BiomarkerKG-37577398","EXEMESTANE","DB00990"," 60198"
"BiomarkerKG214156408","PERTUZUMAB","DB06366","NA"
"BiomarkerKG214156408","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG214156408","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG214156408","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG214156408","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG214156408","DOCETAXEL","DB01248"," 148124"
"BiomarkerKG214156408","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG214156408","PEGFILGRASTIM","DB00019"," NA"
"BiomarkerKG1059450097","DURVALUMAB","DB11714","NA"
"BiomarkerKG1059450097","OLAPARIB","DB09074"," 23725625"
"BiomarkerKG1059450097","AZD6738","NA"," 54761306"
"BiomarkerKG-1378819185","NIVOLUMAB","DB09035","NA"
"BiomarkerKG-1378819185","NAB-PACLITAXEL","NA"," 36314"
"BiomarkerKG-1378819185","IPILIMUMAB","DB06186"," NA"
"BiomarkerKG-323468877","FUTIBATINIB","DB15149","71621331"
"BiomarkerKG-323468877","FULVERSTRANT","NA"," NA"
"BiomarkerKG-1064188360","FUTIBATINIB","DB15149","71621331"
"BiomarkerKG-1254885361","FUTIBATINIB","DB15149","71621331"
"BiomarkerKG-1254885361","FULVERSTRANT","NA"," NA"
"BiomarkerKG-1702088471","GEDATOLISIB","DB11896","44516953"
"BiomarkerKG-1702088471","TALAZOPARIB","DB11760"," 135565082"
"BiomarkerKG535034914","GEDATOLISIB","DB11896","44516953"
"BiomarkerKG535034914","TALAZOPARIB","DB11760"," 135565082"
"BiomarkerKG716117938","NAB-PACLITAXEL","NA","36314"
"BiomarkerKG716117938","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG716117938","HERCEPTIN","NA"," NA"
"BiomarkerKG107230865","NAB-PACLITAXEL","NA","36314"
"BiomarkerKG107230865","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG107230865","HERCEPTIN","NA"," NA"
"BiomarkerKG2139946516","CYCLOPHOSPHAMIDE","DB00531","2907"
"BiomarkerKG2139946516","CYTOKINE-BASED BIOLOGIC AGENT IRX-2","NA"," NA"
"BiomarkerKG2139946516","NIVOLUMAB","DB09035"," NA"
"BiomarkerKG-1142743362","ANLOTINIB HYDROCHLORIDE",NA,"57380530"
"BiomarkerKG2027096547","COLCHICINE","DB01394","6167"
"BiomarkerKG683286200","PRAVASTATIN","DB00175","16759173"
"BiomarkerKG440468617","APATINIB","DB14765","45139106"
"BiomarkerKG329189688","ATG-008",NA,"58298316"
"BiomarkerKG1352760165","DERAZANTINIB","DB14889","46834118"
"BiomarkerKG1751026797","RAMUCIRUMAB","DB05578","NA"
"BiomarkerKG1751026797","MEDI4736","NA"," NA"
"BiomarkerKG-1685288106","SORAFENIB","DB00398","406563"
"BiomarkerKG626426273","BAVITUXIMAB","DB05136","NA"
"BiomarkerKG626426273","SORAFENIB","DB00398"," 406563"
"BiomarkerKG-1504368928","PD-0332991",NA,"5330286"
"BiomarkerKG-1815733615","LENALIDOMIDE","DB00480","216326"
"BiomarkerKG-61478009","BEVACIZUMAB","DB00112","NA"
"BiomarkerKG-61478009","ERLOTINIB","DB00530"," 176871"
"BiomarkerKG1400964458","AXITINIB","DB06626","6450551"
"BiomarkerKG936726893","EVEROLIMUS","DB01590","6442177"
"BiomarkerKG936726893","PASIREOTIDE","DB06663"," 9941444"
"BiomarkerKG-595661003","SORAFENIB","DB00398","406563"
"BiomarkerKG-595661003","E7050","NA"," 16118392"
"BiomarkerKG-1250742185","ADI-PEG 20","DB06592",NA
"BiomarkerKG223828977","TYROSERLEUTIDE","NA","10045387"
"BiomarkerKG223828977","MITOMYCIN","DB00305"," 5746"
"BiomarkerKG223828977","FLUOROURACIL","DB00544"," 3385"
"BiomarkerKG-1086386656","TS-1","NA","5386"
"BiomarkerKG-1086386656","OXALIPLATIN","DB00526"," 5310940"
"BiomarkerKG-1960843667","S-1","NA","5462310"
"BiomarkerKG-1960843667","LEUCOVORIN","DB00650"," 135403647"
"BiomarkerKG912675784","ETHIODIZED OIL","DB00965","NA"
"BiomarkerKG912675784","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG-1583497180","PRAVASTATIN","DB00175","16759173"
"BiomarkerKG-1583497180","SORAFENIB","DB00398"," 406563"
"BiomarkerKG1436097858","SORAFENIB TOSYLATE","NA","406563"
"BiomarkerKG1436097858","VORINOSTAT","DB02546"," 5311"
"BiomarkerKG1088441413","ASLAN001",NA,"42642648"
"BiomarkerKG76141553","APATINIB","DB14765","45139106"
"BiomarkerKG76141553","SHR-1210","NA"," NA"
"BiomarkerKG-2114961874","RAMUCIRUMAB","DB05578",NA
"BiomarkerKG1273878690","GALUNISERTIB","DB11911","10090485"
"BiomarkerKG1273878690","NIVOLUMAB","DB09035"," NA"
"BiomarkerKG901214447","FISOGATINIB",NA,"91885617"
"BiomarkerKG320452314","ERDAFITINIB","DB12147","67462786"
"BiomarkerKG-1047036954","OXALIPLATIN","DB00526","5310940"
"BiomarkerKG-1047036954","5-FLUOROURACIL","DB00544"," 3385"
"BiomarkerKG1160551452","APATINIB","DB14765","45139106"
"BiomarkerKG1309435194","PEMBROLIZUMAB","DB09037",NA
"BiomarkerKG286515678","BEVACIZUMAB","DB00112",NA
"BiomarkerKG1449458760",NA,NA,"56956252"
"BiomarkerKG-338123991","CABOZANTINIB","DB08875","25102846"
"BiomarkerKG-338123991","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-1006830416",NA,NA,"56956252"
"BiomarkerKG91698316",NA,NA,"56956252"
"BiomarkerKG869601495",NA,NA,"56956252"
"BiomarkerKG-1299119812",NA,NA,"56956252"
"BiomarkerKG-1256644265","BAY 1125976",NA,"70817911"
"BiomarkerKG-2145370017","NAPABUCASIN","DB12155","10331844"
"BiomarkerKG-2145370017","TAMOXIFEN","DB00675"," 2733526"
